gesture,gesture_num,timestamp,aX,aY,aZ,gX,gY,gZ,temp
rotate_ccw,1,817,-0.040,-0.023,0.897,31.473,1.756,1.328,25.19
rotate_ccw,1,827,-0.040,-0.028,0.899,34.023,-1.244,3.679,25.24
rotate_ccw,1,837,-0.051,-0.010,0.916,33.832,-3.687,4.183,25.24
rotate_ccw,1,847,-0.046,-0.021,0.940,28.198,-2.557,6.656,25.24
rotate_ccw,1,859,-0.038,-0.015,0.951,24.580,-4.618,8.649,25.24
rotate_ccw,1,869,-0.035,-0.018,0.936,25.191,-4.351,9.740,25.24
rotate_ccw,1,879,-0.047,0.006,0.918,26.885,-6.527,10.206,25.14
rotate_ccw,1,890,-0.051,-0.010,0.907,22.985,-2.641,8.542,25.24
rotate_ccw,1,901,-0.033,-0.020,0.887,18.885,1.260,5.878,25.28
rotate_ccw,1,911,-0.027,-0.038,0.880,15.015,1.527,4.168,25.19
rotate_ccw,1,921,-0.013,-0.044,0.894,13.855,2.748,3.229,25.38
rotate_ccw,1,932,-0.025,-0.031,0.895,17.969,-0.939,1.931,25.28
rotate_ccw,1,943,-0.033,0.006,0.915,16.267,-0.626,1.687,25.24
rotate_ccw,1,953,-0.043,0.007,0.929,11.847,0.725,2.061,25.33
rotate_ccw,1,963,-0.039,-0.011,0.904,10.229,2.374,2.267,25.24
rotate_ccw,1,974,-0.040,-0.024,0.901,13.252,2.351,2.008,25.19
rotate_ccw,1,985,-0.038,-0.014,0.876,19.985,2.389,1.351,25.28
rotate_ccw,1,995,-0.043,0.001,0.896,20.198,1.931,1.290,25.28
rotate_ccw,1,1005,-0.029,-0.010,0.921,17.679,2.603,2.344,25.24
rotate_ccw,1,1016,-0.036,-0.005,0.913,17.794,3.061,2.389,25.24
rotate_ccw,1,1027,-0.034,-0.015,0.911,18.939,3.336,1.427,25.33
rotate_ccw,1,1037,-0.031,-0.013,0.918,19.160,2.565,1.405,25.19
rotate_ccw,1,1048,-0.033,-0.007,0.921,15.855,2.573,1.771,25.24
rotate_ccw,1,1058,-0.033,-0.028,0.933,12.435,2.954,1.702,25.19
rotate_ccw,1,1069,-0.028,-0.037,0.920,14.221,3.489,1.115,25.28
rotate_ccw,1,1080,-0.034,-0.019,0.904,15.214,2.588,0.855,25.28
rotate_ccw,1,1090,-0.031,-0.015,0.918,14.153,2.855,1.595,25.28
rotate_ccw,1,1100,-0.038,-0.017,0.898,12.977,3.153,2.397,25.19
rotate_ccw,1,1112,-0.041,-0.026,0.895,12.588,3.534,2.229,25.14
rotate_ccw,1,1122,-0.034,-0.054,0.882,17.832,4.634,0.672,25.24
rotate_ccw,1,1132,-0.033,-0.030,0.891,23.069,1.969,0.176,25.33
rotate_ccw,1,1143,-0.038,-0.003,0.896,25.786,2.931,-0.168,25.14
rotate_ccw,1,1154,-0.032,0.008,0.920,23.481,2.389,0.656,25.24
rotate_ccw,1,1164,-0.035,-0.000,0.923,20.809,3.214,1.618,25.24
rotate_ccw,1,1174,-0.042,-0.020,0.925,20.305,3.435,1.160,25.24
rotate_ccw,1,1185,-0.025,-0.041,0.917,20.374,3.573,0.855,25.33
rotate_ccw,1,1196,-0.031,-0.031,0.903,18.557,2.954,0.519,25.24
rotate_ccw,1,1206,-0.027,-0.022,0.907,14.771,3.145,0.870,25.24
rotate_ccw,1,1217,-0.032,-0.007,0.891,16.290,3.443,1.412,25.33
rotate_ccw,1,1227,-0.043,0.001,0.876,21.229,3.275,1.000,25.24
rotate_ccw,1,1238,-0.044,-0.019,0.878,27.412,4.550,0.275,25.24
rotate_ccw,1,1249,-0.034,-0.019,0.887,31.893,3.832,-0.160,25.24
rotate_ccw,1,1259,-0.030,-0.015,0.898,37.740,3.031,-0.458,25.24
rotate_ccw,1,1269,-0.038,0.001,0.888,45.420,3.069,-1.229,25.24
rotate_ccw,1,1280,-0.031,-0.026,0.901,46.458,2.847,-1.405,25.24
rotate_ccw,1,1291,-0.015,0.007,0.948,39.466,-0.840,0.794,25.24
rotate_ccw,1,1301,-0.028,-0.027,0.932,29.878,3.397,0.137,25.33
rotate_ccw,1,1311,-0.027,-0.018,0.925,24.031,0.046,2.237,25.14
rotate_ccw,1,1323,-0.033,0.015,0.922,17.695,1.412,3.634,25.33
rotate_ccw,1,1333,-0.035,0.016,0.931,8.992,0.992,5.573,25.24
rotate_ccw,1,1343,-0.038,-0.003,0.925,6.115,2.244,6.588,25.14
rotate_ccw,1,1354,-0.038,-0.009,0.898,12.061,5.176,3.702,25.28
rotate_ccw,1,1364,-0.038,0.001,0.904,18.382,2.557,1.855,25.28
rotate_ccw,1,1375,-0.036,0.008,0.917,18.328,3.634,1.824,25.19
rotate_ccw,1,1385,-0.031,0.018,0.900,19.511,3.550,1.771,25.14
rotate_ccw,1,1396,-0.044,0.023,0.880,22.954,3.420,1.130,25.24
rotate_ccw,1,1406,-0.033,0.003,0.900,27.328,3.855,1.107,25.28
rotate_ccw,1,1417,-0.028,0.008,0.903,28.588,3.038,1.137,25.19
rotate_ccw,1,1428,-0.036,-0.012,0.926,24.931,2.725,0.382,25.28
rotate_ccw,1,1438,-0.038,-0.024,0.925,23.153,3.275,0.076,25.19
rotate_ccw,1,1448,-0.028,-0.001,0.919,19.221,2.130,0.038,25.19
rotate_ccw,1,1460,-0.016,0.006,0.932,13.099,2.000,0.733,25.09
rotate_ccw,1,1470,-0.031,0.007,0.919,9.313,2.214,0.809,25.19
rotate_ccw,1,1480,-0.039,0.001,0.891,13.252,2.931,0.122,25.28
rotate_ccw,1,1490,-0.044,0.005,0.893,15.885,3.122,-0.298,25.14
rotate_ccw,1,1502,-0.036,-0.006,0.896,20.756,3.939,-0.458,25.33
rotate_ccw,1,1512,-0.041,0.009,0.909,23.183,1.672,-0.740,25.24
rotate_ccw,1,1522,-0.036,0.017,0.921,20.084,3.008,-0.565,25.33
rotate_ccw,1,1533,-0.030,-0.004,0.907,18.000,3.015,-0.450,25.24
rotate_ccw,1,1544,-0.032,-0.012,0.887,20.282,3.618,-0.756,25.24
rotate_ccw,1,1554,-0.032,0.004,0.894,19.511,3.099,-0.389,25.24
rotate_ccw,1,1564,-0.024,0.005,0.909,15.641,3.076,0.420,25.24
rotate_ccw,1,1575,-0.031,0.008,0.902,12.420,3.786,0.450,25.14
rotate_ccw,1,1586,-0.039,-0.004,0.900,13.534,4.137,-0.069,25.14
rotate_ccw,1,1596,-0.034,-0.017,0.907,17.626,3.519,-0.130,25.24
rotate_ccw,1,1607,-0.042,0.009,0.909,20.328,2.534,-0.466,25.24
rotate_ccw,1,1617,-0.040,-0.003,0.921,18.542,3.145,-0.397,25.14
rotate_ccw,1,1628,-0.034,-0.014,0.920,16.382,3.496,0.374,25.24
rotate_ccw,1,1638,-0.030,-0.012,0.908,15.198,3.313,0.260,25.24
rotate_ccw,1,1649,-0.031,0.001,0.912,14.298,2.916,-0.099,25.14
rotate_ccw,1,1659,-0.033,0.006,0.911,11.824,3.305,0.053,25.24
rotate_ccw,1,1670,-0.043,-0.006,0.899,12.634,3.817,-0.092,25.28
rotate_ccw,1,1681,-0.046,-0.010,0.881,15.107,4.718,-0.466,25.24
rotate_ccw,1,1691,-0.039,0.003,0.912,17.359,3.038,-0.069,25.24
rotate_ccw,1,1701,-0.033,-0.008,0.932,15.595,2.756,0.107,25.19
rotate_ccw,1,1713,-0.034,-0.006,0.930,12.534,2.863,0.649,25.28
rotate_ccw,1,1723,-0.032,-0.016,0.909,12.290,3.237,0.840,25.19
rotate_ccw,1,1733,-0.038,-0.003,0.887,17.763,3.504,-0.450,25.19
rotate_ccw,1,1743,-0.041,-0.002,0.886,20.687,3.336,-0.802,25.19
rotate_ccw,1,1755,-0.032,-0.003,0.902,18.435,4.130,0.053,25.33
rotate_ccw,1,1765,-0.025,-0.017,0.918,15.718,4.153,0.802,25.24
rotate_ccw,1,1775,-0.036,-0.011,0.926,14.885,3.847,0.618,25.14
rotate_ccw,1,1786,-0.033,-0.018,0.927,14.931,2.962,0.153,25.33
rotate_ccw,1,1797,-0.043,-0.014,0.917,12.985,2.687,0.656,25.24
rotate_ccw,1,1807,-0.046,-0.010,0.910,12.870,3.053,0.580,25.24
rotate_ccw,1,1818,-0.041,-0.026,0.863,19.885,4.115,-0.687,25.33
rotate_ccw,1,1828,-0.051,-0.004,0.870,24.191,2.481,-1.176,25.24
