gesture,gesture_num,timestamp,aX,aY,aZ,gX,gY,gZ,temp
rotate_cw,1,,-0.144,0.200,0.874,20.099,-14.733,19.122,24.62
rotate_cw,1,822,0.042,0.095,0.903,7.046,8.962,32.359,24.44
rotate_cw,1,832,-0.080,0.112,0.880,4.565,9.290,32.916,24.62
rotate_cw,1,842,-0.020,0.061,0.811,-4.634,-6.962,29.969,24.58
rotate_cw,1,852,-0.205,0.039,0.695,-25.176,-63.458,29.870,24.48
rotate_cw,1,864,-0.192,0.221,0.722,-71.802,-95.130,44.061,24.58
rotate_cw,1,874,-0.700,0.665,0.570,-91.069,-40.939,18.115,24.53
rotate_cw,1,884,0.220,0.157,1.068,-69.733,-28.427,11.725,24.53
rotate_cw,1,896,-0.045,0.007,1.041,-48.389,-13.931,-3.061,24.58
rotate_cw,1,906,-0.066,-0.047,0.949,-34.290,-13.252,5.718,24.48
rotate_cw,1,916,0.001,0.112,0.911,-28.252,0.649,4.084,24.48
rotate_cw,1,927,0.051,0.019,0.927,-12.328,-6.435,-7.092,24.48
rotate_cw,1,937,-0.000,-0.029,0.973,7.344,-4.557,-9.511,24.53
rotate_cw,1,948,-0.046,0.032,0.898,7.893,-0.550,-0.244,24.58
rotate_cw,1,958,0.029,-0.025,0.906,3.626,-5.275,-4.137,24.48
rotate_cw,1,969,-0.031,0.069,0.930,4.649,-3.015,-11.290,24.53
rotate_cw,1,979,-0.013,0.058,0.906,2.817,-3.008,-5.382,24.53
rotate_cw,1,990,-0.018,0.037,0.908,7.351,-8.748,-4.626,24.58
rotate_cw,1,1000,0.037,0.002,0.917,14.588,-17.725,-5.908,24.48
rotate_cw,1,1011,-0.005,0.037,0.907,17.832,-20.924,-11.214,24.48
rotate_cw,1,1021,-0.116,-0.010,0.872,17.664,-26.878,-18.473,24.53
rotate_cw,1,1033,-0.014,-0.041,0.861,13.863,-56.221,-3.427,24.58
rotate_cw,1,1043,0.071,-0.007,0.920,17.511,-70.817,-14.160,24.58
