gesture,gesture_num,timestamp,aX,aY,aZ,gX,gY,gZ,temp
punch,1,321,0.073,0.009,0.917,18.779,2.954,0.542,25.24
punch,1,332,0.074,0.006,0.912,18.901,3.176,0.672,25.19
punch,1,343,0.078,0.013,0.905,18.794,2.916,0.641,25.19
punch,1,353,0.076,0.006,0.908,18.939,2.771,0.687,25.24
punch,1,363,0.072,0.011,0.903,18.870,2.786,0.534,25.33
punch,1,374,0.073,0.008,0.917,18.855,2.939,0.656,25.28
punch,1,385,0.068,0.011,0.907,18.725,2.977,0.710,25.14
punch,1,395,0.070,0.009,0.913,18.794,2.870,0.603,25.24
punch,1,405,0.075,0.005,0.911,18.962,3.046,0.603,25.19
punch,1,416,0.075,0.010,0.908,18.977,2.817,0.611,25.19
punch,1,427,0.074,0.011,0.910,18.832,2.931,0.504,25.24
punch,1,437,0.077,0.010,0.902,18.824,2.977,0.763,25.14
punch,1,447,0.071,0.011,0.911,18.802,2.710,0.550,25.19
punch,1,458,0.075,0.012,0.901,18.893,2.863,0.550,25.19
punch,1,468,0.068,0.008,0.910,18.855,2.870,0.626,25.24
punch,1,479,0.073,0.009,0.906,18.771,3.015,0.603,25.19
punch,1,489,0.077,0.010,0.909,18.908,2.931,0.664,25.19
punch,1,499,0.073,0.011,0.911,18.885,2.832,0.733,25.24
punch,1,510,0.073,0.010,0.902,18.840,2.855,0.573,25.14
punch,1,521,0.074,0.012,0.911,18.924,2.916,0.565,25.19
punch,1,531,0.074,0.013,0.908,18.855,2.748,0.496,25.09
punch,1,541,0.077,0.006,0.907,18.870,2.824,0.664,25.14
punch,1,552,0.074,0.007,0.915,18.718,2.863,0.641,25.14
punch,1,563,0.071,0.008,0.914,18.855,2.924,0.603,25.19
punch,1,573,0.072,0.005,0.913,18.885,2.718,0.748,25.19
punch,1,583,0.075,0.012,0.903,18.740,2.878,0.725,25.24
punch,1,594,0.073,0.015,0.908,18.885,2.832,0.595,25.19
punch,1,605,0.073,0.007,0.903,18.824,2.779,0.695,25.19
punch,1,615,0.070,0.003,0.912,18.763,2.771,0.496,25.14
punch,1,625,0.080,0.013,0.907,18.809,3.015,0.634,25.14
punch,1,636,0.076,0.007,0.903,18.878,2.710,0.710,25.19
punch,1,647,0.072,0.010,0.906,18.763,2.901,0.550,25.19
punch,1,657,0.070,0.008,0.910,18.870,2.817,0.641,25.14
punch,1,667,0.070,0.010,0.909,18.817,2.939,0.641,25.24
punch,1,677,0.071,0.010,0.905,18.847,2.847,0.435,25.19
punch,1,689,0.073,0.009,0.907,18.901,2.924,0.725,25.14
punch,1,699,0.075,0.007,0.909,18.924,2.847,0.550,25.24
punch,1,709,0.068,0.007,0.910,18.802,3.008,0.634,25.09
punch,1,719,0.074,0.010,0.909,18.832,2.924,0.672,25.19
punch,1,731,0.072,0.007,0.911,18.947,2.863,0.557,25.24
punch,1,741,0.077,0.010,0.906,18.840,2.763,0.733,25.14
punch,1,751,0.075,0.010,0.903,18.779,2.740,0.687,25.19
punch,1,761,0.077,0.013,0.910,18.786,2.924,0.534,25.14
punch,1,773,0.068,0.009,0.906,18.885,2.901,0.603,25.24
punch,1,783,0.072,0.009,0.909,18.893,2.824,0.573,25.19
punch,1,793,0.075,0.010,0.906,18.809,3.069,0.588,25.19
punch,1,803,0.071,0.007,0.915,18.870,2.794,0.641,25.24
punch,1,814,0.070,0.009,0.911,18.885,2.939,0.641,25.33
punch,1,825,0.076,0.009,0.900,18.832,2.977,0.634,25.28
punch,1,835,0.074,0.015,0.910,18.855,2.939,0.695,25.24
punch,1,845,0.075,0.008,0.907,18.802,2.794,0.565,25.14
punch,1,856,0.073,0.008,0.904,18.832,2.779,0.557,25.28
punch,1,867,0.068,0.007,0.909,18.992,2.916,0.580,25.19
punch,1,877,0.074,0.010,0.898,18.847,2.916,0.656,25.24
