gesture,gesture_num,timestamp,aX,aY,aZ,gX,gY,gZ,temp
swipe_up,1,301,0.073,0.010,0.927,18.939,3.015,0.565,24.11
swipe_up,1,311,0.072,0.013,0.913,18.656,3.115,0.618,24.25
swipe_up,1,321,0.069,0.007,0.916,18.580,3.092,0.626,24.20
swipe_up,1,332,0.065,0.009,0.917,18.588,3.046,0.557,24.11
swipe_up,1,343,0.070,0.009,0.922,18.779,2.962,0.443,24.25
swipe_up,1,353,0.070,0.004,0.925,18.649,3.000,0.649,24.06
swipe_up,1,363,0.070,0.010,0.921,18.763,2.924,0.557,24.20
swipe_up,1,374,0.070,0.008,0.916,18.641,2.878,0.672,24.25
swipe_up,1,385,0.072,0.007,0.920,18.672,3.084,0.725,24.15
swipe_up,1,395,0.076,0.009,0.919,18.595,3.275,0.588,24.20
swipe_up,1,405,0.071,0.010,0.917,18.687,3.046,0.687,24.15
swipe_up,1,416,0.071,0.007,0.917,18.809,3.130,0.511,24.15
swipe_up,1,427,0.067,0.004,0.921,18.580,3.176,0.550,24.20
swipe_up,1,437,0.072,0.008,0.917,18.710,3.008,0.649,24.25
swipe_up,1,447,0.074,0.012,0.919,18.656,3.183,0.618,24.20
swipe_up,1,457,0.073,0.006,0.923,18.580,3.031,0.603,24.15
swipe_up,1,468,0.072,0.006,0.915,18.779,2.992,0.603,24.34
swipe_up,1,479,0.073,0.005,0.920,18.847,2.802,0.519,24.15
swipe_up,1,489,0.071,0.009,0.921,18.763,2.947,0.710,24.20
swipe_up,1,499,0.066,0.008,0.917,18.702,2.824,0.702,24.25
swipe_up,1,510,0.067,0.004,0.917,18.679,3.282,0.672,24.25
swipe_up,1,521,0.069,0.010,0.911,18.794,3.107,0.878,24.20
swipe_up,1,531,0.071,0.006,0.925,18.511,2.916,0.740,24.25
swipe_up,1,541,0.072,0.015,0.917,18.679,2.985,0.420,24.25
swipe_up,1,552,0.070,0.009,0.920,18.756,3.008,0.695,24.29
swipe_up,1,563,0.071,0.011,0.922,18.786,3.137,0.695,24.29
swipe_up,1,573,0.069,0.010,0.924,18.725,3.015,0.550,24.15
swipe_up,1,583,0.067,0.008,0.928,18.771,3.000,0.695,24.20
swipe_up,1,593,0.074,0.013,0.918,18.496,3.000,0.580,24.29
swipe_up,1,605,0.074,0.004,0.920,18.863,3.053,0.756,24.25
swipe_up,1,615,0.070,0.011,0.910,18.603,3.061,0.702,24.29
swipe_up,1,625,0.072,0.010,0.920,18.626,3.137,0.748,24.25
swipe_up,1,635,0.066,0.015,0.917,18.702,3.168,0.672,24.34
swipe_up,1,647,0.079,0.011,0.919,18.748,3.000,0.687,24.20
swipe_up,1,657,0.076,0.009,0.932,18.580,3.145,0.405,24.25
swipe_up,1,667,0.066,0.012,0.919,18.733,3.435,0.595,24.25
swipe_up,1,677,0.069,0.009,0.927,18.656,3.145,0.756,24.20
swipe_up,1,689,0.069,0.002,0.923,18.718,3.038,0.756,24.29
swipe_up,1,699,0.067,0.007,0.922,18.695,3.038,0.519,24.25
swipe_up,1,709,0.067,0.010,0.919,18.626,3.046,0.580,24.20
swipe_up,1,719,0.070,0.009,0.921,18.740,3.122,0.611,24.29
swipe_up,1,730,0.063,0.013,0.915,18.733,3.069,0.718,24.34
swipe_up,1,741,0.076,0.009,0.916,18.786,3.252,0.550,24.29
swipe_up,1,751,0.063,0.007,0.918,18.649,3.122,0.756,24.39
swipe_up,1,761,0.069,0.008,0.925,18.618,2.985,0.611,24.25
swipe_up,1,772,0.071,0.009,0.927,18.748,2.931,0.557,24.34
swipe_up,1,783,0.066,0.008,0.922,18.794,2.931,0.618,24.29
swipe_up,1,793,0.073,0.006,0.930,18.824,3.115,0.733,24.25
swipe_up,1,803,0.066,0.007,0.926,18.718,2.962,0.458,24.25
swipe_up,1,814,0.069,0.004,0.915,18.809,3.115,0.588,24.20
swipe_up,1,825,0.072,0.011,0.924,18.756,3.282,0.740,24.25
swipe_up,1,835,0.071,0.009,0.918,18.718,3.374,0.679,24.25
swipe_up,1,845,0.068,0.006,0.924,18.817,3.221,0.740,24.39
swipe_up,1,856,0.072,0.007,0.916,18.573,3.244,0.618,24.25
swipe_up,1,867,0.070,0.011,0.925,18.672,3.237,0.557,24.25
swipe_up,1,877,0.068,0.013,0.918,18.687,3.160,0.664,24.29
swipe_up,1,887,0.067,0.009,0.918,18.870,3.366,0.573,24.29
swipe_up,1,898,0.074,0.006,0.918,18.786,3.153,0.664,24.25
swipe_up,1,908,0.065,0.007,0.919,18.702,3.000,0.634,24.39
swipe_up,1,919,0.071,0.009,0.923,18.649,3.305,0.511,24.29
swipe_up,1,929,0.073,0.008,0.919,18.557,3.107,0.519,24.25
swipe_up,1,940,0.069,0.011,0.923,18.756,3.397,0.656,24.25
swipe_up,1,950,0.068,0.009,0.927,18.725,3.237,0.420,24.29
swipe_up,1,961,0.069,0.009,0.919,18.908,3.374,0.664,24.34
swipe_up,1,971,0.070,0.011,0.921,18.710,3.374,0.603,24.15
swipe_up,1,982,0.073,0.013,0.927,18.893,3.527,0.489,24.29
swipe_up,1,992,0.068,0.012,0.923,19.115,4.000,0.634,24.25
swipe_up,1,1003,0.064,0.005,0.917,18.679,4.359,0.443,24.25
swipe_up,1,1013,0.070,0.011,0.921,18.809,4.550,0.344,24.34
swipe_up,1,1024,0.068,0.010,0.919,18.702,4.527,0.382,24.29
swipe_up,1,1034,0.068,0.009,0.932,18.679,4.183,0.328,24.29
swipe_up,1,1045,0.067,0.010,0.928,18.740,3.992,-0.015,24.39
swipe_up,1,1055,0.069,0.007,0.925,18.840,4.687,-0.580,24.29
swipe_up,1,1065,0.076,0.009,0.919,18.863,5.031,-1.794,24.25
swipe_up,1,1077,0.082,0.012,0.922,18.985,5.756,-3.618,24.34
swipe_up,1,1087,0.069,0.013,0.917,19.038,6.046,-5.718,24.34
swipe_up,1,1097,0.061,0.000,0.916,19.122,5.038,-6.198,24.34
swipe_up,1,1107,0.058,-0.008,0.911,18.847,-0.847,-5.374,24.34
swipe_up,1,1119,0.071,0.005,0.923,17.962,-0.550,-3.779,24.34
swipe_up,1,1129,0.054,0.010,0.915,18.321,1.679,-1.947,24.25
swipe_up,1,1139,0.057,0.006,0.930,18.305,1.794,-0.634,24.34
swipe_up,1,1150,0.064,0.017,0.925,18.412,2.397,-0.344,24.34
swipe_up,1,1161,0.068,0.009,0.911,18.626,2.588,-0.137,24.34
swipe_up,1,1171,0.062,0.013,0.919,18.756,3.053,0.275,24.29
swipe_up,1,1182,0.067,0.010,0.912,18.771,3.107,0.580,24.39
swipe_up,1,1192,0.069,0.009,0.917,18.863,3.198,0.374,24.39
swipe_up,1,1203,0.066,0.008,0.920,18.878,2.855,0.496,24.34
swipe_up,1,1213,0.066,0.014,0.917,18.832,3.153,0.489,24.39
swipe_up,1,1224,0.066,0.010,0.924,18.748,2.771,0.351,24.34
swipe_up,1,1234,0.062,0.007,0.919,18.595,2.863,0.473,24.34
swipe_up,1,1245,0.073,0.010,0.924,18.641,2.924,0.588,24.34
swipe_up,1,1256,0.067,0.011,0.921,18.527,2.947,0.618,24.34
swipe_up,1,1266,0.073,0.010,0.918,18.664,2.931,0.382,24.34
swipe_up,1,1276,0.070,0.007,0.923,18.756,2.969,0.298,24.44
swipe_up,1,1287,0.066,0.007,0.910,18.656,2.954,0.374,24.34
swipe_up,1,1298,0.071,0.008,0.927,18.733,2.870,0.359,24.29
swipe_up,1,1308,0.069,0.006,0.915,18.542,2.901,0.427,24.39
swipe_up,1,1318,0.065,0.017,0.922,18.672,2.893,0.557,24.29
swipe_up,1,1330,0.065,0.012,0.920,18.580,2.885,0.466,24.39
swipe_up,1,1340,0.063,0.007,0.917,18.824,2.748,0.412,24.34
swipe_up,1,1350,0.067,0.004,0.921,18.794,2.924,0.611,24.44
swipe_up,1,1360,0.072,0.010,0.920,18.611,3.015,0.618,24.44
swipe_up,1,1372,0.070,0.012,0.917,18.809,2.947,0.550,24.44
swipe_up,1,1382,0.066,0.010,0.928,18.603,2.626,0.473,24.34
swipe_up,1,1392,0.064,0.015,0.922,18.794,2.809,0.481,24.39
swipe_up,1,1403,0.067,0.012,0.921,18.679,2.977,0.435,24.39
swipe_up,1,1414,0.069,0.010,0.921,18.733,2.863,0.611,24.39
swipe_up,1,1424,0.063,0.014,0.918,18.588,2.947,0.344,24.44
swipe_up,1,1434,0.063,0.012,0.920,18.809,2.855,0.519,24.29
swipe_up,1,1445,0.068,0.010,0.923,18.550,2.779,0.412,24.34
swipe_up,1,1456,0.062,0.005,0.917,18.756,3.023,0.412,24.34
swipe_up,1,1466,0.075,0.009,0.917,18.817,2.931,0.672,24.34
swipe_up,1,1477,0.066,0.011,0.921,18.779,3.008,0.374,24.25
swipe_up,1,1487,0.068,0.008,0.917,18.763,2.985,0.626,24.44
swipe_up,1,1498,0.069,0.006,0.921,18.603,2.870,0.519,24.25
swipe_up,1,1508,0.074,0.012,0.922,18.763,2.534,0.595,24.39
swipe_up,1,1519,0.069,0.013,0.921,18.779,2.580,0.435,24.39
swipe_up,1,1529,0.069,0.007,0.913,18.840,2.969,0.595,24.39
swipe_up,1,1540,0.070,0.009,0.923,18.779,2.679,0.389,24.39
swipe_up,1,1551,0.067,0.011,0.919,18.679,2.870,0.588,24.34
swipe_up,1,1561,0.073,0.015,0.920,18.618,3.099,0.573,24.34
swipe_up,1,1571,0.073,0.014,0.917,18.832,3.145,0.626,24.44
swipe_up,1,1582,0.068,0.010,0.922,18.550,2.992,0.565,24.34
swipe_up,1,1593,0.069,0.011,0.913,18.802,3.046,0.656,24.34
swipe_up,1,1603,0.065,0.013,0.918,18.702,3.122,0.603,24.29
swipe_up,1,1613,0.074,0.008,0.923,18.893,2.977,0.588,24.29
swipe_up,1,1625,0.066,0.012,0.914,18.695,3.015,0.389,24.39
swipe_up,1,1635,0.066,0.015,0.923,18.870,2.718,0.763,24.29
swipe_up,1,1645,0.073,0.009,0.922,18.794,2.672,0.649,24.34
swipe_up,1,1655,0.072,0.011,0.912,18.718,2.115,0.557,24.34
swipe_up,1,1667,0.078,0.011,0.926,18.542,3.626,0.557,24.44
swipe_up,1,1677,0.067,0.012,0.919,18.855,3.244,0.595,24.34
swipe_up,1,1687,0.067,0.005,0.917,18.618,2.863,0.710,24.34
swipe_up,1,1698,0.067,0.005,0.915,18.733,2.863,0.603,24.44
swipe_up,1,1709,0.066,0.010,0.923,18.557,3.069,0.557,24.34
swipe_up,1,1719,0.061,0.007,0.917,18.718,3.031,0.534,24.34
swipe_up,1,1729,0.069,0.010,0.920,18.656,2.908,0.504,24.39
swipe_up,1,1740,0.069,0.008,0.921,18.611,2.939,0.534,24.39
swipe_up,1,1751,0.069,0.009,0.919,18.595,2.817,0.611,24.29
swipe_up,1,1761,0.070,0.004,0.919,18.725,3.069,0.565,24.39
swipe_up,1,1772,0.065,0.013,0.924,18.641,2.878,0.763,24.44
swipe_up,1,1782,0.066,0.010,0.935,18.672,2.885,0.580,24.53
swipe_up,1,1793,0.065,0.010,0.917,18.634,3.046,0.626,24.44
swipe_up,1,1803,0.073,0.009,0.923,18.611,2.824,0.565,24.44
swipe_up,1,1814,0.066,0.009,0.912,18.779,2.863,0.611,24.53
swipe_up,1,1824,0.067,0.007,0.913,18.718,2.863,0.649,24.39
swipe_up,1,1835,0.071,0.014,0.921,18.679,3.008,0.695,24.39
swipe_up,1,1846,0.067,0.007,0.915,18.603,3.023,0.634,24.39
swipe_up,1,1856,0.072,0.010,0.919,18.695,3.008,0.443,24.48
swipe_up,1,1866,0.065,0.010,0.919,18.595,2.695,0.557,24.44
swipe_up,1,1876,0.068,0.010,0.927,18.771,3.015,0.649,24.34
swipe_up,1,1888,0.065,0.011,0.914,18.702,3.046,0.534,24.34
swipe_up,1,1898,0.073,0.009,0.921,18.748,2.809,0.565,24.44
swipe_up,1,1908,0.067,0.006,0.915,18.710,2.786,0.603,24.44
swipe_up,1,1920,0.073,0.006,0.919,18.519,2.832,0.550,24.48
swipe_up,1,1930,0.072,0.010,0.923,18.664,3.023,0.420,24.39
swipe_up,1,1940,0.074,0.004,0.920,18.718,2.840,0.466,24.48
swipe_up,1,1950,0.066,0.009,0.914,18.885,2.947,0.626,24.39
swipe_up,1,1961,0.068,0.007,0.920,18.779,2.985,0.557,24.34
swipe_up,1,1972,0.073,0.010,0.921,18.718,2.855,0.519,24.34
swipe_up,1,1982,0.067,0.008,0.915,18.763,2.847,0.573,24.44
swipe_up,1,1993,0.071,0.009,0.916,18.771,2.679,0.733,24.44
swipe_up,1,2003,0.068,0.006,0.910,18.763,3.000,0.649,24.44
swipe_up,1,2014,0.065,0.011,0.925,18.824,2.954,0.534,24.39
swipe_up,1,2024,0.068,0.008,0.923,18.725,2.992,0.557,24.48
swipe_up,1,2035,0.067,0.006,0.924,18.794,2.786,0.527,24.39
swipe_up,1,2045,0.070,0.006,0.921,18.679,2.863,0.718,24.44
swipe_up,1,2056,0.059,0.009,0.919,18.664,3.046,0.710,24.39
swipe_up,1,2066,0.067,0.010,0.918,18.466,2.924,0.504,24.44
swipe_up,1,2077,0.066,0.013,0.919,18.626,2.870,0.519,24.34
swipe_up,1,2087,0.072,0.012,0.919,18.771,3.145,0.550,24.34
swipe_up,1,2098,0.067,0.012,0.911,18.687,2.969,0.450,24.34
swipe_up,1,2109,0.071,0.011,0.923,18.565,2.725,0.595,24.44
swipe_up,1,2119,0.065,0.011,0.922,18.603,2.786,0.687,24.44
swipe_up,1,2129,0.072,0.009,0.913,18.695,2.901,0.649,24.39
swipe_up,1,2141,0.070,0.010,0.919,18.679,2.885,0.649,24.48
swipe_up,1,2151,0.070,0.014,0.922,18.405,2.947,0.649,24.39
swipe_up,1,2161,0.068,0.006,0.916,18.580,2.969,0.672,24.39
swipe_up,1,2171,0.072,0.009,0.922,18.550,3.015,0.656,24.48
swipe_up,1,2183,0.071,0.011,0.926,18.672,3.099,0.542,24.44
swipe_up,1,2193,0.067,0.002,0.913,18.611,2.817,0.840,24.44
swipe_up,1,2203,0.063,0.014,0.914,18.511,2.992,0.473,24.44
swipe_up,1,2214,0.072,0.008,0.919,18.710,2.809,0.611,24.44
swipe_up,1,2225,0.063,0.011,0.924,18.679,2.771,0.832,24.53
swipe_up,1,2235,0.073,0.005,0.917,18.702,2.878,0.687,24.44
swipe_up,1,2245,0.064,0.009,0.920,18.718,2.802,0.588,24.44
swipe_up,1,2256,0.068,0.007,0.919,18.550,2.855,0.718,24.48
swipe_up,1,2267,0.068,0.011,0.915,18.687,3.099,0.496,24.48
swipe_up,1,2277,0.069,0.014,0.923,18.550,2.977,0.756,24.48
swipe_up,1,2288,0.072,0.010,0.919,18.779,3.115,0.595,24.44
