gesture,gesture_num,timestamp,aX,aY,aZ,gX,gY,gZ,temp
swipe_left,1,321,0.073,0.010,0.917,18.672,2.916,0.634,25.75
swipe_left,1,332,0.071,0.014,0.921,18.763,2.916,0.557,25.75
swipe_left,1,343,0.064,0.008,0.908,18.611,2.954,0.718,25.80
swipe_left,1,353,0.066,0.010,0.919,18.687,2.832,0.656,25.71
swipe_left,1,363,0.065,0.009,0.923,18.611,3.038,0.618,25.75
swipe_left,1,374,0.071,0.013,0.919,18.656,2.809,0.641,25.75
swipe_left,1,385,0.069,0.012,0.908,18.550,2.763,0.656,25.80
swipe_left,1,395,0.072,0.009,0.917,18.733,2.824,0.565,25.75
swipe_left,1,405,0.071,0.010,0.914,18.695,2.939,0.603,25.85
swipe_left,1,415,0.074,0.010,0.919,18.679,2.779,0.641,25.85
swipe_left,1,427,0.077,0.010,0.922,18.672,2.962,0.710,25.80
swipe_left,1,437,0.075,0.011,0.917,18.771,2.901,0.626,25.80
swipe_left,1,447,0.070,0.009,0.924,18.817,2.779,0.802,25.85
swipe_left,1,457,0.071,0.017,0.923,18.664,2.901,0.618,25.80
swipe_left,1,468,0.075,0.006,0.915,18.656,2.916,0.626,25.71
swipe_left,1,479,0.073,0.011,0.917,18.588,2.954,0.710,25.75
swipe_left,1,489,0.073,0.011,0.913,18.550,2.947,0.779,25.85
swipe_left,1,499,0.072,0.010,0.914,18.740,2.863,0.565,25.71
swipe_left,1,510,0.070,0.014,0.921,18.588,2.893,0.763,25.80
swipe_left,1,521,0.077,0.014,0.911,18.702,2.885,0.718,25.85
swipe_left,1,531,0.072,0.012,0.925,18.756,2.840,0.687,25.75
swipe_left,1,541,0.068,0.006,0.919,18.603,2.832,0.702,25.80
swipe_left,1,551,0.074,0.011,0.914,18.702,2.817,0.527,25.80
swipe_left,1,563,0.072,0.010,0.918,18.763,2.809,0.511,25.75
swipe_left,1,573,0.075,0.007,0.920,18.702,3.069,0.756,25.75
swipe_left,1,583,0.074,0.007,0.915,18.527,2.908,0.740,25.80
swipe_left,1,593,0.076,0.008,0.918,18.664,2.779,0.603,25.80
swipe_left,1,605,0.065,0.009,0.915,18.634,2.733,0.603,25.66
swipe_left,1,615,0.075,0.016,0.917,18.527,2.916,0.641,25.66
swipe_left,1,625,0.075,0.012,0.918,18.656,2.947,0.771,25.80
swipe_left,1,635,0.067,0.012,0.914,18.565,2.794,0.679,25.75
swipe_left,1,647,0.071,0.010,0.915,18.626,2.847,0.725,25.85
swipe_left,1,657,0.060,0.007,0.915,18.725,2.962,0.634,25.75
swipe_left,1,667,0.068,0.001,0.914,18.626,2.748,0.695,25.80
swipe_left,1,677,0.076,0.015,0.916,18.641,3.061,0.779,25.85
swipe_left,1,689,0.067,0.008,0.925,18.611,2.924,0.664,25.85
swipe_left,1,699,0.077,0.012,0.920,18.664,2.840,0.725,25.66
swipe_left,1,709,0.076,0.008,0.915,18.786,2.771,0.733,25.80
swipe_left,1,719,0.077,0.011,0.923,18.603,2.802,0.641,25.80
swipe_left,1,730,0.068,0.013,0.918,18.588,2.916,0.687,25.75
swipe_left,1,741,0.069,0.009,0.915,18.672,2.863,0.687,25.71
swipe_left,1,751,0.071,0.015,0.924,18.405,2.855,0.649,25.80
swipe_left,1,761,0.065,0.008,0.919,18.771,2.763,0.641,25.75
swipe_left,1,772,0.075,0.011,0.916,18.603,2.847,0.618,25.75
swipe_left,1,783,0.073,0.009,0.919,18.756,2.908,0.626,25.80
swipe_left,1,793,0.071,0.020,0.915,18.527,3.000,0.588,25.80
swipe_left,1,803,0.072,0.015,0.914,18.481,2.710,0.588,25.75
swipe_left,1,814,0.066,0.007,0.922,18.687,2.985,0.565,25.85
swipe_left,1,825,0.064,0.010,0.921,18.649,2.885,0.702,25.80
swipe_left,1,835,0.074,0.007,0.917,18.710,2.794,0.702,25.75
swipe_left,1,845,0.068,0.013,0.916,18.656,2.954,0.595,25.75
swipe_left,1,856,0.065,0.010,0.917,18.557,2.763,0.695,25.89
swipe_left,1,866,0.068,0.011,0.919,18.824,2.901,0.603,25.80
swipe_left,1,877,0.070,0.011,0.922,18.733,2.863,0.611,25.75
swipe_left,1,887,0.071,0.014,0.923,18.748,2.855,0.656,25.85
swipe_left,1,898,0.072,0.017,0.917,18.649,2.847,0.618,25.80
swipe_left,1,908,0.073,0.014,0.914,18.740,2.809,0.786,25.80
swipe_left,1,919,0.073,0.009,0.916,18.641,2.969,0.603,25.85
swipe_left,1,929,0.069,0.013,0.929,18.504,2.863,0.656,25.85
swipe_left,1,940,0.069,0.014,0.918,18.710,2.916,0.679,25.80
swipe_left,1,950,0.075,0.016,0.922,18.679,2.809,0.595,25.75
swipe_left,1,960,0.079,0.013,0.921,18.649,2.924,0.672,25.75
swipe_left,1,971,0.074,0.007,0.922,18.481,3.038,0.611,25.75
swipe_left,1,982,0.074,0.008,0.918,18.634,2.870,0.649,25.80
swipe_left,1,992,0.078,0.009,0.919,18.580,2.885,0.740,25.80
swipe_left,1,1002,0.069,0.012,0.913,18.756,2.985,0.649,25.85
swipe_left,1,1013,0.076,0.009,0.917,18.557,2.802,0.641,25.75
swipe_left,1,1024,0.067,0.010,0.921,18.641,2.878,0.725,25.75
swipe_left,1,1034,0.074,0.009,0.918,18.802,3.076,0.641,25.85
swipe_left,1,1045,0.074,0.015,0.917,18.641,2.695,0.656,25.85
swipe_left,1,1055,0.076,0.009,0.914,18.634,2.924,0.565,25.75
swipe_left,1,1065,0.071,0.013,0.922,18.573,2.847,0.725,25.75
swipe_left,1,1076,0.074,0.010,0.921,18.603,2.901,0.718,25.75
swipe_left,1,1087,0.069,0.013,0.914,18.534,2.786,0.718,25.85
swipe_left,1,1097,0.073,0.015,0.920,18.550,2.901,0.611,25.80
swipe_left,1,1107,0.070,0.016,0.917,18.603,2.863,0.618,25.71
swipe_left,1,1119,0.074,0.009,0.913,18.756,2.802,0.588,25.80
swipe_left,1,1129,0.070,0.016,0.918,18.588,2.916,0.740,25.80
swipe_left,1,1139,0.068,0.012,0.917,18.664,2.969,0.794,25.80
swipe_left,1,1149,0.073,0.010,0.923,18.595,2.977,0.641,25.71
swipe_left,1,1161,0.074,0.011,0.925,18.641,2.954,0.817,25.80
swipe_left,1,1171,0.069,0.010,0.910,18.580,2.908,0.603,25.85
swipe_left,1,1181,0.073,0.011,0.916,18.809,2.954,0.603,25.71
swipe_left,1,1192,0.078,0.010,0.913,18.634,2.962,0.725,25.85
swipe_left,1,1203,0.070,0.009,0.918,18.786,2.924,0.687,25.80
swipe_left,1,1213,0.070,0.006,0.921,18.756,2.893,0.702,25.75
swipe_left,1,1223,0.071,0.011,0.919,18.603,2.885,0.763,25.66
swipe_left,1,1234,0.073,0.014,0.917,18.542,3.038,0.656,25.75
swipe_left,1,1245,0.074,0.012,0.913,18.542,2.924,0.618,25.85
swipe_left,1,1255,0.068,0.013,0.920,18.618,2.908,0.687,25.85
swipe_left,1,1266,0.076,0.012,0.924,18.573,2.840,0.740,25.75
swipe_left,1,1276,0.074,0.011,0.923,18.573,2.977,0.702,25.75
swipe_left,1,1287,0.075,0.014,0.919,18.458,2.931,0.534,25.85
swipe_left,1,1297,0.073,0.011,0.920,18.664,2.725,0.718,25.85
swipe_left,1,1308,0.072,0.003,0.917,18.573,2.878,0.672,25.75
swipe_left,1,1318,0.072,0.013,0.918,18.718,2.901,0.626,25.85
swipe_left,1,1329,0.073,0.006,0.923,18.588,2.939,0.718,25.85
swipe_left,1,1340,0.079,0.009,0.918,18.771,2.939,0.557,25.85
swipe_left,1,1350,0.069,0.010,0.915,18.412,2.939,0.649,25.75
swipe_left,1,1360,0.071,0.009,0.917,18.740,2.870,0.580,25.75
swipe_left,1,1371,0.077,0.010,0.914,18.718,3.015,0.779,25.75
swipe_left,1,1382,0.071,0.007,0.919,18.656,2.847,0.489,25.66
swipe_left,1,1392,0.071,0.015,0.917,18.618,2.885,0.603,25.80
swipe_left,1,1402,0.069,0.011,0.917,18.656,2.771,0.672,25.80
swipe_left,1,1414,0.078,0.010,0.922,18.588,2.832,0.573,25.80
swipe_left,1,1424,0.077,0.015,0.921,18.580,2.763,0.626,25.71
swipe_left,1,1434,0.073,0.013,0.920,18.618,2.817,0.634,25.80
swipe_left,1,1444,0.076,0.005,0.916,18.550,2.847,0.626,25.80
swipe_left,1,1456,0.072,0.010,0.925,18.672,2.817,0.603,25.80
swipe_left,1,1466,0.071,0.009,0.918,18.595,2.802,0.634,25.71
swipe_left,1,1476,0.073,0.007,0.920,18.656,3.038,0.603,25.80
swipe_left,1,1487,0.079,0.005,0.927,18.588,2.802,0.641,25.80
swipe_left,1,1498,0.068,0.012,0.921,18.603,2.863,0.664,25.71
swipe_left,1,1508,0.073,0.015,0.911,18.641,2.794,0.733,25.71
swipe_left,1,1518,0.071,0.012,0.920,18.618,2.863,0.573,25.80
swipe_left,1,1529,0.076,0.011,0.909,18.718,2.878,0.588,25.71
swipe_left,1,1540,0.060,0.016,0.925,18.611,2.802,0.710,25.80
swipe_left,1,1550,0.066,0.013,0.921,18.710,2.786,0.557,25.80
swipe_left,1,1561,0.073,0.008,0.923,18.740,2.809,0.595,25.80
swipe_left,1,1571,0.073,0.008,0.918,18.626,2.939,0.611,25.85
swipe_left,1,1582,0.067,0.010,0.913,18.664,2.893,0.595,25.85
swipe_left,1,1592,0.073,0.018,0.908,18.687,2.855,0.702,25.94
swipe_left,1,1603,0.071,0.015,0.922,18.740,2.855,0.504,25.66
swipe_left,1,1613,0.074,0.008,0.922,18.656,2.985,0.733,25.75
swipe_left,1,1624,0.066,0.008,0.925,18.618,2.809,0.779,25.75
swipe_left,1,1635,0.075,0.016,0.914,18.687,2.901,0.748,25.85
swipe_left,1,1645,0.074,0.009,0.925,18.504,2.885,0.527,25.75
swipe_left,1,1655,0.078,0.007,0.919,18.435,2.664,0.679,25.75
swipe_left,1,1666,0.068,0.006,0.918,18.618,2.817,0.672,25.75
swipe_left,1,1677,0.070,0.012,0.918,18.504,2.931,0.595,25.71
swipe_left,1,1687,0.072,0.008,0.913,18.534,2.824,0.603,25.71
swipe_left,1,1697,0.072,0.009,0.916,18.649,2.901,0.588,25.71
swipe_left,1,1709,0.067,0.013,0.910,18.718,2.809,0.687,25.71
swipe_left,1,1719,0.070,0.014,0.919,18.641,2.824,0.687,25.80
swipe_left,1,1729,0.067,0.007,0.924,18.573,3.053,0.618,25.75
swipe_left,1,1739,0.069,0.003,0.921,18.687,2.794,0.679,25.80
swipe_left,1,1751,0.070,0.012,0.913,18.626,2.832,0.771,25.75
swipe_left,1,1761,0.076,0.010,0.924,18.603,2.824,0.702,25.75
swipe_left,1,1771,0.075,0.007,0.919,18.733,3.023,0.771,25.75
swipe_left,1,1782,0.070,0.011,0.912,18.496,2.855,0.763,25.75
swipe_left,1,1793,0.074,0.014,0.917,18.595,2.771,0.740,25.85
swipe_left,1,1803,0.077,0.013,0.917,18.542,2.954,0.626,25.75
swipe_left,1,1813,0.064,0.010,0.921,18.450,2.939,0.664,25.85
swipe_left,1,1824,0.071,0.011,0.920,18.649,2.771,0.634,25.85
swipe_left,1,1835,0.080,0.011,0.914,18.603,2.916,0.733,25.85
swipe_left,1,1845,0.077,0.012,0.925,18.534,2.794,0.573,25.75
swipe_left,1,1856,0.068,0.012,0.922,18.824,2.824,0.603,25.85
swipe_left,1,1866,0.074,0.012,0.924,18.565,2.947,0.466,25.75
swipe_left,1,1876,0.077,0.014,0.925,18.565,2.809,0.603,25.75
swipe_left,1,1887,0.078,0.005,0.919,18.504,2.840,0.588,25.75
swipe_left,1,1898,0.080,0.020,0.918,18.718,2.840,0.573,25.75
swipe_left,1,1908,0.074,0.007,0.920,18.679,2.908,0.626,25.85
swipe_left,1,1918,0.064,0.010,0.912,18.611,2.924,0.740,25.80
swipe_left,1,1930,0.068,0.011,0.917,18.611,2.939,0.580,25.71
swipe_left,1,1940,0.074,0.010,0.917,18.809,3.023,0.611,25.80
swipe_left,1,1950,0.074,0.010,0.922,18.687,3.061,0.595,25.80
swipe_left,1,1960,0.068,0.011,0.921,18.710,2.908,0.656,25.80
swipe_left,1,1972,0.071,0.011,0.921,18.740,2.802,0.672,25.80
swipe_left,1,1982,0.075,0.014,0.924,18.611,2.962,0.641,25.71
swipe_left,1,1992,0.070,0.011,0.923,18.603,2.840,0.687,25.71
swipe_left,1,2003,0.073,0.014,0.928,18.534,2.901,0.573,25.80
swipe_left,1,2014,0.074,0.014,0.912,18.634,2.817,0.779,25.89
swipe_left,1,2024,0.071,0.009,0.924,18.565,2.908,0.733,25.71
swipe_left,1,2034,0.077,0.013,0.914,18.588,2.748,0.824,25.89
swipe_left,1,2045,0.071,0.008,0.913,18.580,2.847,0.588,25.71
swipe_left,1,2056,0.068,0.015,0.916,18.580,2.992,0.672,25.75
swipe_left,1,2066,0.073,0.010,0.921,18.527,2.702,0.641,25.85
swipe_left,1,2077,0.076,0.006,0.918,18.618,2.611,0.580,25.75
swipe_left,1,2087,0.073,0.013,0.913,18.656,2.893,0.573,25.85
swipe_left,1,2098,0.076,0.005,0.916,18.649,2.779,0.550,25.75
swipe_left,1,2108,0.071,0.009,0.926,18.702,2.733,0.519,25.75
swipe_left,1,2119,0.069,0.007,0.919,18.626,2.802,0.695,25.85
swipe_left,1,2129,0.073,0.013,0.913,18.557,2.763,0.565,25.66
swipe_left,1,2140,0.070,0.010,0.919,18.557,2.901,0.756,25.85
swipe_left,1,2151,0.067,0.015,0.927,18.611,2.916,0.603,25.85
