gesture,sample_id,timestamp,aX,aY,aZ,gX,gY,gZ,temp
idle,1767714402980,5707,0.074,0.010,0.935,18.580,2.962,0.618,23.21
idle,1767714402980,5723,0.073,0.007,0.929,18.443,3.137,0.656,23.31
idle,1767714402980,5738,0.072,0.010,0.933,18.603,2.977,0.542,23.26
idle,1767714402980,5753,0.073,0.014,0.933,18.504,2.832,0.603,23.26
idle,1767714402980,5769,0.079,0.008,0.922,18.511,3.076,0.679,23.31
idle,1767714402980,5785,0.078,0.007,0.925,18.397,3.099,0.710,23.35
idle,1767714402980,5800,0.073,0.010,0.926,18.504,3.053,0.679,23.35
idle,1767714402980,5816,0.067,0.006,0.927,18.458,2.992,0.443,23.31
idle,1767714402980,5831,0.073,0.008,0.930,18.595,3.084,0.817,23.31
idle,1767714402980,5847,0.076,0.010,0.934,18.618,3.015,0.664,23.26
idle,1767714402980,5862,0.072,0.006,0.928,18.565,3.061,0.611,23.35
idle,1767714402980,5878,0.075,0.008,0.932,18.397,3.122,0.573,23.31
idle,1767714402980,5894,0.068,0.007,0.929,18.382,2.992,0.397,23.17
idle,1767714402980,5909,0.073,0.012,0.930,18.359,3.015,0.748,23.26
idle,1767714402980,5924,0.075,0.009,0.929,18.580,2.977,0.840,23.31
idle,1767714402980,5940,0.078,0.015,0.929,18.489,2.916,0.779,23.21
idle,1767714402980,5955,0.076,0.013,0.930,18.702,3.069,0.656,23.26
idle,1767714402980,5971,0.072,0.011,0.931,18.634,3.229,0.611,23.35
idle,1767714402980,5987,0.078,0.008,0.928,18.573,3.115,0.725,23.31
idle,1767714402980,6002,0.075,0.012,0.937,18.504,2.878,0.611,23.21
idle,1767714402980,6018,0.077,0.007,0.933,18.504,2.924,0.595,23.31
idle,1767714402980,6033,0.079,0.009,0.924,18.473,3.046,0.740,23.35
idle,1767714402980,6048,0.079,0.007,0.931,18.618,2.962,0.435,23.40
idle,1767714402980,6065,0.073,0.015,0.928,18.588,2.962,0.740,23.21
idle,1767714402980,6080,0.072,0.006,0.925,18.511,3.321,0.687,23.35
idle,1767714402980,6095,0.074,0.008,0.929,18.573,3.130,0.595,23.26
idle,1767714402980,6111,0.070,0.015,0.932,18.382,3.130,0.580,23.31
idle,1767714402980,6126,0.072,0.007,0.922,18.519,3.076,0.802,23.35
idle,1767714402980,6141,0.080,0.008,0.934,18.634,2.832,0.588,23.35
idle,1767714402980,6158,0.075,0.010,0.922,18.618,3.206,0.756,23.21
idle,1767714402980,6173,0.073,0.010,0.931,18.382,3.122,0.664,23.31
idle,1767714402980,6189,0.074,0.006,0.929,18.634,3.023,0.710,23.35
idle,1767714402980,6204,0.076,0.002,0.923,18.702,3.122,0.534,23.35
idle,1767714402980,6219,0.075,0.013,0.927,18.450,2.916,0.710,23.21
idle,1767714402980,6235,0.073,0.016,0.927,18.450,2.985,0.679,23.26
idle,1767714402980,6251,0.070,0.010,0.924,18.603,3.076,0.542,23.26
idle,1767714402980,6266,0.075,0.008,0.930,18.481,2.893,0.687,23.31
idle,1767714402980,6282,0.074,0.012,0.934,18.443,3.023,0.618,23.26
idle,1767714402980,6297,0.079,0.011,0.936,18.450,2.824,0.641,23.26
idle,1767714402980,6312,0.079,0.010,0.932,18.389,3.046,0.656,23.31
idle,1767714402980,6328,0.078,0.006,0.923,18.466,2.832,0.649,23.26
idle,1767714402980,6344,0.077,0.002,0.920,18.366,2.794,0.458,23.26
idle,1767714402980,6360,0.078,0.012,0.911,18.542,2.550,0.687,23.31
idle,1767714402980,6375,0.070,0.008,0.939,18.542,4.221,0.634,23.31
idle,1767714402980,6390,0.077,0.011,0.932,18.244,-0.122,0.466,23.26
idle,1767714402980,6406,-0.004,0.033,0.908,18.870,3.405,2.924,23.26
idle,1767714402980,6421,0.045,-0.035,0.931,20.481,4.260,2.748,23.31
idle,1767714402980,6437,0.086,-0.009,0.937,16.740,5.481,-9.893,23.31
idle,1767714402980,6453,0.080,0.026,0.922,17.328,2.794,-16.420,23.26
idle,1767714402980,6468,0.075,0.019,0.925,18.718,4.450,-3.969,23.26
idle,1767714402980,6483,0.083,0.009,0.925,18.267,4.115,1.046,23.35
idle,1767714402980,6499,0.091,0.020,0.923,18.557,2.618,1.229,23.31
idle,1767714402980,6515,0.079,0.013,0.929,18.405,3.244,0.618,23.31
idle,1767714402980,6531,0.074,0.008,0.927,18.534,3.115,0.702,23.35
idle,1767714402980,6546,0.076,0.005,0.927,18.542,2.672,0.718,23.35
idle,1767714402980,6561,0.079,0.010,0.928,18.496,3.160,0.771,23.21
idle,1767714402980,6577,0.080,0.013,0.933,18.458,2.962,0.779,23.26
idle,1767714402980,6592,0.075,0.010,0.922,18.298,2.733,0.702,23.26
idle,1767714402980,6608,0.076,0.009,0.930,18.649,3.153,0.550,23.31
idle,1767714402980,6624,0.072,0.013,0.926,18.542,3.015,0.649,23.31
idle,1767714402980,6639,0.073,0.009,0.938,18.595,2.985,0.656,23.35
idle,1767714402980,6654,0.078,0.009,0.919,18.672,3.153,0.664,23.26
idle,1767714402980,6670,0.072,0.012,0.925,18.496,3.000,0.771,23.21
idle,1767714402980,6686,0.074,0.007,0.928,18.695,2.924,0.626,23.26
idle,1767714402980,6702,0.078,0.011,0.930,18.443,2.924,0.565,23.26
idle,1767714402980,6717,0.072,0.011,0.920,18.534,2.992,0.626,23.31
idle,1767714402980,6732,0.072,0.007,0.933,18.527,3.115,0.588,23.31
idle,1767714402980,6748,0.075,0.013,0.926,18.641,2.947,0.626,23.35
idle,1767714402980,6763,0.077,0.010,0.933,18.573,2.977,0.580,23.26
idle,1767714402980,6779,0.076,0.008,0.929,18.321,3.183,0.580,23.31
idle,1767714402980,6795,0.077,0.007,0.924,18.519,2.924,0.687,23.26
idle,1767714402980,6810,0.077,0.011,0.927,18.481,2.939,0.710,23.26
idle,1767714402980,6825,0.071,0.009,0.923,18.519,3.107,0.740,23.26
idle,1767714402980,6841,0.078,0.006,0.941,18.588,2.908,0.626,23.31
idle,1767714402980,6856,0.072,0.009,0.933,18.481,2.893,0.702,23.35
idle,1767714402980,6873,0.068,0.010,0.926,18.473,2.985,0.847,23.26
idle,1767714402980,6888,0.075,0.007,0.931,18.687,2.870,0.687,23.31
idle,1767714402980,6903,0.076,0.008,0.929,18.603,3.069,0.656,23.26
idle,1767714402980,6919,0.076,0.012,0.936,18.656,3.076,0.695,23.35
idle,1767714402980,6934,0.071,0.009,0.936,18.557,2.893,0.687,23.31
idle,1767714402980,6949,0.073,0.007,0.930,18.519,2.908,0.672,23.40
idle,1767714402980,6966,0.078,0.006,0.933,18.550,3.053,0.557,23.35
idle,1767714402980,6981,0.076,0.004,0.926,18.565,3.153,0.634,23.31
idle,1767714402980,6996,0.077,0.008,0.924,18.504,3.008,0.664,23.40
idle,1767714402980,7012,0.075,0.007,0.931,18.641,2.832,0.641,23.26
idle,1767714402980,7027,0.074,0.006,0.940,18.557,2.969,0.626,23.31
idle,1767714402980,7043,0.072,0.005,0.929,18.550,2.802,0.656,23.40
idle,1767714402980,7058,0.077,0.010,0.930,18.687,3.099,0.756,23.35
idle,1767714402980,7074,0.079,0.009,0.921,18.527,2.870,0.786,23.31
idle,1767714402980,7090,0.073,0.009,0.917,18.725,3.000,0.466,23.35
idle,1767714402980,7105,0.073,0.011,0.928,18.405,3.053,0.725,23.35
idle,1767714402980,7120,0.073,0.012,0.926,18.603,2.924,0.695,23.21
idle,1767714402980,7136,0.070,0.006,0.933,18.458,2.840,0.763,23.31
idle,1767714402980,7151,0.077,0.009,0.929,18.618,3.176,0.641,23.26
idle,1767714402980,7168,0.073,0.009,0.937,18.405,2.901,0.557,23.35
idle,1767714402980,7183,0.081,0.005,0.922,18.412,2.939,0.611,23.31
idle,1767714402980,7198,0.078,0.017,0.934,18.519,2.992,0.679,23.35
idle,1767714402980,7214,0.075,0.014,0.926,18.450,3.092,0.733,23.26
idle,1767714402980,7229,0.075,0.004,0.928,18.466,2.802,0.718,23.26
idle,1767714402980,7245,0.076,0.010,0.920,18.534,3.092,0.565,23.31
idle,1767714402980,7261,0.073,0.011,0.931,18.496,3.183,0.580,23.40
idle,1767714402980,7276,0.073,0.005,0.940,18.466,3.076,0.656,23.35
idle,1767714402980,7291,0.073,0.009,0.921,18.557,2.840,0.664,23.31
idle,1767714402980,7307,0.074,0.008,0.928,18.511,3.198,0.672,23.26
idle,1767714402980,7322,0.076,0.015,0.929,18.466,2.832,0.664,23.35
idle,1767714402980,7339,0.073,0.008,0.930,18.412,2.947,0.595,23.35
idle,1767714402980,7354,0.072,0.010,0.919,18.412,2.977,0.641,23.21
idle,1767714402980,7369,0.071,0.010,0.922,18.634,2.893,0.664,23.31
idle,1767714402980,7385,0.072,0.011,0.931,18.748,2.855,0.473,23.26
idle,1767714402980,7400,0.063,0.012,0.929,18.580,3.038,0.718,23.35
idle,1767714402980,7415,0.077,0.010,0.930,18.595,3.023,0.504,23.31
idle,1767714402980,7432,0.068,0.017,0.929,18.519,3.023,0.916,23.35
idle,1767714402980,7447,0.073,0.013,0.930,18.534,3.031,0.641,23.26
idle,1767714402980,7462,0.076,0.010,0.927,18.542,2.878,0.611,23.21
idle,1767714402980,7478,0.072,0.004,0.927,18.489,2.947,0.748,23.31
idle,1767714402980,7493,0.074,0.010,0.929,18.542,3.015,0.687,23.26
idle,1767714402980,7508,0.075,0.011,0.927,18.359,3.145,0.542,23.35
idle,1767714402980,7525,0.072,0.012,0.938,18.748,2.863,0.588,23.40
idle,1767714402980,7540,0.073,0.011,0.927,18.435,2.847,0.656,23.31
idle,1767714402980,7556,0.075,0.008,0.920,18.527,2.916,0.580,23.35
idle,1767714402980,7571,0.067,0.002,0.929,18.573,3.069,0.626,23.26
idle,1767714402980,7586,0.071,0.008,0.922,18.504,3.000,0.603,23.31
idle,1767714402980,7602,0.079,0.005,0.926,18.542,3.023,0.618,23.26
idle,1767714402980,7618,0.075,0.011,0.935,18.519,3.076,0.756,23.35
idle,1767714402980,7633,0.074,0.014,0.929,18.519,3.053,0.695,23.31
idle,1767714402980,7649,0.072,0.007,0.928,18.489,2.947,0.527,23.31
idle,1767714402980,7664,0.072,0.007,0.932,18.702,2.985,0.450,23.26
idle,1767714402980,7680,0.080,0.014,0.933,18.511,2.893,0.603,23.26
idle,1767714402980,7695,0.071,0.011,0.928,18.565,3.038,0.496,23.31
idle,1767714402980,7711,0.077,0.014,0.924,18.321,3.000,0.740,23.31
idle,1767714402980,7727,0.073,0.011,0.924,18.504,3.099,0.756,23.26
idle,1767714402980,7742,0.069,0.012,0.928,18.527,3.023,0.649,23.26
idle,1767714402980,7757,0.080,0.014,0.930,18.466,3.107,0.710,23.31
idle,1767714402980,7773,0.071,0.011,0.926,18.550,3.015,0.618,23.35
idle,1767714402980,7789,0.073,0.014,0.927,18.611,2.756,0.565,23.35
idle,1767714402980,7804,0.077,0.007,0.929,18.527,2.771,0.725,23.35
idle,1767714402980,7820,0.069,0.011,0.930,18.664,2.954,0.695,23.31
idle,1767714402980,7835,0.077,0.013,0.932,18.672,2.885,0.824,23.35
idle,1767714402980,7851,0.080,0.010,0.946,18.672,3.786,0.695,23.26
idle,1767714402980,7866,0.070,0.006,0.935,18.695,3.191,0.611,23.31
idle,1767714402980,7882,0.069,0.008,0.929,18.481,3.160,0.588,23.35
idle,1767714402980,7898,0.078,0.009,0.927,18.374,2.885,0.649,23.35
idle,1767714402980,7913,0.078,0.008,0.929,18.496,3.137,0.756,23.26
idle,1767714402980,7928,0.071,0.012,0.931,18.519,2.832,0.473,23.40
idle,1767714402980,7944,0.072,0.009,0.927,18.679,2.878,0.802,23.17
idle,1767714402980,7959,0.073,0.011,0.929,18.527,2.885,0.779,23.35
idle,1767714402980,7975,0.070,0.007,0.920,18.420,3.038,0.603,23.31
idle,1767714402980,7991,0.074,0.012,0.933,18.557,2.893,0.656,23.45
idle,1767714402980,8006,0.073,0.008,0.930,18.496,3.092,0.664,23.26
idle,1767714402980,8022,0.074,0.006,0.926,18.481,3.084,0.733,23.31
idle,1767714402980,8037,0.080,0.001,0.927,18.679,3.359,0.779,23.31
idle,1767714402980,8052,0.077,0.011,0.929,18.420,3.008,0.481,23.35
idle,1767714402980,8069,0.078,0.011,0.927,18.748,2.985,0.656,23.40
idle,1767714402980,8084,0.074,0.007,0.933,18.771,2.885,0.618,23.31
idle,1767714402980,8099,0.072,0.009,0.927,18.672,3.053,0.626,23.35
idle,1767714402980,8115,0.080,0.013,0.935,18.588,3.160,0.756,23.26
idle,1767714402980,8130,0.067,0.011,0.933,18.733,2.679,0.580,23.31
idle,1767714402980,8145,0.075,0.011,0.930,18.565,3.061,0.740,23.40
idle,1767714402980,8162,0.070,0.010,0.930,18.496,3.038,0.740,23.35
idle,1767714402980,8177,0.080,0.008,0.932,18.710,2.924,0.626,23.40
idle,1767714402980,8193,0.071,0.008,0.923,18.557,3.069,0.710,23.35
idle,1767714402980,8208,0.076,0.011,0.931,18.695,2.977,0.656,23.35
idle,1767714402980,8223,0.076,0.012,0.924,18.458,2.824,0.641,23.40
idle,1767714402980,8239,0.077,0.011,0.927,18.588,2.725,0.641,23.31
idle,1767714402980,8255,0.076,0.009,0.908,18.748,2.908,0.603,23.35
idle,1767714402980,8270,0.081,0.007,0.912,18.641,2.771,0.573,23.26
idle,1767714402980,8286,0.074,0.014,0.924,18.672,2.893,0.710,23.31
idle,1767714402980,8301,0.075,0.011,0.931,18.481,3.076,0.573,23.35
idle,1767714402980,8316,0.073,0.006,0.934,18.511,2.710,0.702,23.45
idle,1767714402980,8332,0.070,0.013,0.927,18.527,2.855,0.771,23.31
idle,1767714402980,8348,0.071,0.009,0.931,18.611,2.969,0.725,23.21
idle,1767714402980,8364,0.076,0.016,0.926,18.397,3.061,0.534,23.26
idle,1767714402980,8379,0.079,0.009,0.938,18.443,2.817,0.641,23.35
idle,1767714402980,8394,0.074,0.014,0.936,18.244,2.954,0.611,23.31
idle,1767714402980,8410,0.075,0.010,0.926,18.420,3.084,0.573,23.40
idle,1767714402980,8425,0.079,0.013,0.928,18.656,2.954,0.702,23.35
idle,1767714402980,8441,0.075,0.005,0.928,18.435,2.977,0.687,23.35
idle,1767714402980,8457,0.070,0.008,0.934,18.466,2.947,0.565,23.31
idle,1767714402980,8472,0.074,0.011,0.921,18.489,2.931,0.618,23.45
idle,1767714402980,8487,0.071,0.010,0.934,18.466,2.947,0.702,23.45
idle,1767714402980,8503,0.071,0.011,0.929,18.557,3.053,0.672,23.31
idle,1767714402980,8518,0.072,0.009,0.925,18.473,3.107,0.672,23.40
idle,1767714402980,8535,0.071,0.007,0.936,18.565,2.939,0.527,23.26
idle,1767714402980,8550,0.076,0.015,0.930,18.511,2.947,0.481,23.31
idle,1767714402980,8565,0.073,0.012,0.930,18.672,2.916,0.748,23.40
idle,1767714402980,8581,0.077,0.011,0.923,18.649,2.962,0.733,23.26
idle,1767714402980,8596,0.074,0.014,0.924,18.489,3.176,0.542,23.35
idle,1767714402980,8611,0.078,0.007,0.935,18.344,3.130,0.656,23.31
idle,1767714402980,8628,0.073,0.011,0.932,18.534,3.153,0.649,23.31
idle,1767714402980,8643,0.072,0.006,0.927,18.565,2.954,0.649,23.35
idle,1767714402980,8658,0.073,0.010,0.925,18.527,2.885,0.634,23.45
idle,1767714402980,8674,0.077,0.009,0.933,18.573,3.176,0.740,23.40
idle,1767714402980,8689,0.071,0.011,0.922,18.527,2.893,0.573,23.40
idle,1767714402980,8706,0.074,0.007,0.930,18.557,2.916,0.802,23.35
idle,1767714402980,8721,0.076,0.011,0.927,18.511,3.122,0.672,23.40
idle,1767714402980,8736,0.080,0.010,0.921,18.519,2.878,0.687,23.31
idle,1767714402980,8752,0.074,0.006,0.925,18.496,3.107,0.527,23.35
idle,1767714402980,8767,0.074,0.008,0.927,18.618,3.046,0.550,23.45
idle,1767714402980,8782,0.072,0.017,0.930,18.527,3.038,0.588,23.31
idle,1767714402980,8799,0.072,0.008,0.928,18.603,3.031,0.595,23.35
idle,1767714402980,8814,0.080,0.009,0.935,18.466,3.115,0.595,23.35
idle,1767714402980,8829,0.076,0.010,0.927,18.527,2.977,0.649,23.40
idle,1767714402980,8845,0.070,0.011,0.923,18.580,2.901,0.733,23.35
idle,1767714402980,8860,0.074,0.010,0.920,18.565,2.992,0.702,23.35
idle,1767714402980,8876,0.073,0.008,0.924,18.641,3.038,0.756,23.31
idle,1767714402980,8892,0.070,0.013,0.933,18.679,2.855,0.519,23.40
idle,1767714402980,8907,0.073,0.012,0.920,18.588,2.954,0.595,23.35
idle,1767714402980,8923,0.069,0.008,0.925,18.603,3.008,0.634,23.31
idle,1767714402980,8938,0.072,0.005,0.933,18.473,3.168,0.603,23.35
idle,1767714402980,8953,0.078,0.018,0.930,18.664,3.031,0.718,23.35
idle,1767714402980,8969,0.075,0.005,0.927,18.573,2.885,0.618,23.35
idle,1767714402980,8985,0.078,0.010,0.935,18.435,3.137,0.656,23.31
idle,1767714402980,9000,0.079,0.012,0.922,18.679,3.031,0.397,23.40
idle,1767714402980,9016,0.076,0.007,0.929,18.450,2.924,0.649,23.35
idle,1767714402980,9031,0.077,0.005,0.932,18.695,3.023,0.588,23.31
idle,1767714402980,9047,0.075,0.016,0.937,18.405,3.038,0.634,23.26
idle,1767714402980,9062,0.075,0.012,0.925,18.565,2.878,0.779,23.45
idle,1767714402980,9078,0.072,0.007,0.926,18.603,2.931,0.550,23.35
idle,1767714402980,9094,0.069,0.011,0.924,18.649,3.015,0.618,23.31
idle,1767714402980,9109,0.076,0.002,0.935,18.321,2.939,0.725,23.40
idle,1767714402980,9124,0.074,0.011,0.928,18.397,3.069,0.511,23.45
idle,1767714402980,9140,0.077,0.007,0.935,18.473,2.878,0.687,23.40
idle,1767714402980,9155,0.070,0.014,0.931,18.534,2.969,0.802,23.26
idle,1767714402980,9171,0.073,0.011,0.931,18.473,2.916,0.557,23.35
idle,1767714402980,9187,0.071,0.010,0.926,18.771,2.992,0.634,23.45
idle,1767714402980,9202,0.074,0.009,0.923,18.389,3.107,0.687,23.40
idle,1767714402980,9218,0.071,0.009,0.938,18.412,3.023,0.588,23.40
idle,1767714402980,9233,0.077,0.009,0.918,18.557,2.786,0.679,23.26
idle,1767714402980,9248,0.076,0.013,0.930,18.618,2.954,0.580,23.40
idle,1767714402980,9265,0.069,0.012,0.914,18.473,2.786,0.740,23.35
idle,1767714402980,9280,0.071,0.010,0.928,18.786,2.748,0.656,23.35
idle,1767714402980,9295,0.071,0.005,0.934,18.458,3.099,0.710,23.35
idle,1767714402980,9311,0.075,0.013,0.926,18.481,3.015,0.656,23.40
idle,1767714402980,9326,0.077,0.003,0.928,18.557,2.931,0.687,23.35
idle,1767714402980,9341,0.075,0.007,0.937,18.534,3.099,0.450,23.45
idle,1767714402980,9358,0.063,0.009,0.936,18.466,3.061,0.725,23.40
idle,1767714402980,9373,0.076,0.017,0.936,18.473,3.084,0.595,23.35
idle,1767714402980,9389,0.070,0.008,0.921,18.458,3.000,0.679,23.35
idle,1767714402980,9404,0.077,0.007,0.928,18.557,2.947,0.664,23.40
idle,1767714402980,9419,0.074,0.010,0.930,18.511,2.840,0.580,23.45
idle,1767714402980,9435,0.078,0.007,0.924,18.282,3.221,0.802,23.35
idle,1767714402980,9450,0.073,0.007,0.931,18.779,2.992,0.710,23.31
idle,1767714402980,9466,0.072,0.011,0.922,18.450,2.687,0.824,23.35
idle,1767714402980,9482,0.076,0.012,0.929,18.435,3.031,0.695,23.45
idle,1767714402980,9497,0.078,0.010,0.928,18.573,3.122,0.664,23.40
idle,1767714402980,9512,0.079,0.014,0.925,18.427,3.130,0.656,23.40
idle,1767714402980,9528,0.075,0.012,0.916,18.496,3.069,0.641,23.35
idle,1767714402980,9544,0.075,0.014,0.931,18.603,3.061,0.649,23.35
idle,1767714402980,9560,0.077,0.012,0.927,18.710,3.153,0.588,23.31
idle,1767714402980,9575,0.075,0.004,0.929,18.351,2.954,0.649,23.35
idle,1767714402980,9590,0.075,0.012,0.924,18.542,2.870,0.618,23.35
idle,1767714402980,9606,0.072,0.009,0.924,18.534,3.053,0.641,23.40
idle,1767714402980,9621,0.073,0.013,0.923,18.511,2.924,0.733,23.21
idle,1767714402980,9637,0.074,0.013,0.930,18.458,2.931,0.672,23.35
idle,1767714402980,9653,0.075,0.009,0.927,18.595,2.962,0.702,23.35
idle,1767714402980,9668,0.075,0.005,0.919,18.618,3.115,0.695,23.40
idle,1767714402980,9683,0.075,0.010,0.924,18.496,3.053,0.603,23.35
idle,1767714402980,9699,0.079,0.008,0.934,18.511,2.947,0.664,23.35
idle,1767714402980,9714,0.070,0.010,0.930,18.573,3.153,0.649,23.40
idle,1767714402980,9731,0.071,0.012,0.928,18.603,2.924,0.618,23.40
idle,1767714402980,9746,0.070,0.010,0.927,18.748,2.824,0.634,23.35
idle,1767714402980,9761,0.074,0.009,0.927,18.519,2.969,0.565,23.40
idle,1767714402980,9777,0.075,0.010,0.929,18.618,3.053,0.679,23.45
idle,1767714402980,9792,0.074,0.012,0.935,18.466,2.885,0.695,23.35
idle,1767714402980,9807,0.075,0.007,0.927,18.458,2.863,0.824,23.26
idle,1767714402980,9824,0.077,0.013,0.928,18.511,2.992,0.771,23.40
idle,1767714402980,9839,0.070,0.011,0.919,18.489,2.809,0.725,23.40
idle,1767714402980,9854,0.075,0.014,0.921,18.641,2.954,0.656,23.35
idle,1767714402980,9870,0.069,0.011,0.925,18.389,2.947,0.580,23.40
idle,1767714402980,9885,0.071,0.008,0.931,18.466,3.061,0.595,23.35
idle,1767714402980,9901,0.075,0.008,0.931,18.466,2.817,0.679,23.35
idle,1767714402980,9917,0.073,0.013,0.927,18.565,2.931,0.603,23.35
idle,1767714402980,9932,0.073,0.015,0.928,18.534,3.237,0.695,23.31
idle,1767714402980,9948,0.073,0.010,0.926,18.435,2.947,0.725,23.40
idle,1767714402980,9963,0.071,0.008,0.925,18.519,3.130,0.573,23.35
idle,1767714402980,9978,0.073,0.013,0.937,18.519,2.878,0.794,23.40
idle,1767714402980,9994,0.074,0.009,0.927,18.588,2.916,0.656,23.40
idle,1767714402980,10010,0.071,0.007,0.930,18.504,2.947,0.740,23.35
idle,1767714402980,10025,0.074,0.010,0.936,18.496,2.893,0.573,23.35
idle,1767714402980,10041,0.069,0.012,0.926,18.450,3.069,0.687,23.35
idle,1767714402980,10056,0.071,0.007,0.925,18.618,2.939,0.687,23.45
idle,1767714402980,10072,0.072,0.011,0.934,18.779,2.847,0.718,23.40
idle,1767714402980,10088,0.075,0.009,0.926,18.489,3.107,0.779,23.40
idle,1767714402980,10103,0.077,0.014,0.927,18.489,3.214,0.634,23.40
idle,1767714402980,10119,0.073,0.012,0.924,18.550,3.076,0.565,23.40
idle,1767714402980,10134,0.074,0.018,0.928,18.527,2.924,0.626,23.35
idle,1767714402980,10149,0.075,0.009,0.924,18.405,2.870,0.725,23.35
idle,1767714402980,10166,0.075,0.007,0.923,18.557,2.893,0.786,23.45
idle,1767714402980,10181,0.073,0.003,0.927,18.382,3.130,0.679,23.35
idle,1767714402980,10196,0.075,0.011,0.938,18.489,3.061,0.626,23.45
idle,1767714402980,10212,0.077,0.013,0.934,18.649,2.924,0.695,23.45
idle,1767714402980,10228,0.074,0.006,0.926,18.534,3.000,0.695,23.40
idle,1767714402980,10244,0.078,0.012,0.930,18.427,2.901,0.672,23.40
idle,1767714402980,10259,0.071,0.010,0.927,18.458,2.893,0.580,23.35
idle,1767714402980,10274,0.077,0.013,0.932,18.450,3.183,0.527,23.35
idle,1767714402980,10290,0.073,0.011,0.919,18.382,2.977,0.779,23.35
idle,1767714402980,10306,0.077,0.006,0.929,18.496,2.893,0.702,23.45
idle,1767714402980,10321,0.074,0.012,0.925,18.504,2.977,0.656,23.45
idle,1767714402980,10337,0.077,0.009,0.926,18.519,3.145,0.763,23.26
idle,1767714402980,10352,0.074,0.007,0.931,18.550,2.863,0.641,23.26
idle,1767714402980,10368,0.076,0.006,0.931,18.504,2.901,0.756,23.35
idle,1767714402980,10384,0.073,0.007,0.929,18.634,2.908,0.626,23.31
idle,1767714402980,10399,0.072,0.013,0.930,18.649,3.084,0.618,23.40
idle,1767714402980,10415,0.072,0.013,0.930,18.298,3.214,0.595,23.40
idle,1767714402980,10430,0.072,0.009,0.925,18.489,2.962,0.573,23.40
idle,1767714402980,10445,0.082,0.009,0.924,18.481,2.962,0.573,23.35
idle,1767714402980,10462,0.070,0.012,0.926,18.519,3.061,0.679,23.35
idle,1767714402980,10477,0.071,0.010,0.924,18.435,2.931,0.618,23.45
idle,1767714402980,10492,0.071,0.010,0.924,18.511,3.061,0.656,23.35
idle,1767714402980,10508,0.071,0.016,0.927,18.557,2.947,0.611,23.35
idle,1767714402980,10524,0.075,0.011,0.931,18.443,2.985,0.809,23.35
idle,1767714402980,10540,0.072,0.010,0.926,18.458,3.046,0.733,23.31
idle,1767714402980,10555,0.076,0.004,0.931,18.649,2.824,0.847,23.40
idle,1767714402980,10570,0.071,0.019,0.932,18.557,2.924,0.611,23.40
idle,1767714402980,10586,0.075,0.010,0.927,18.664,3.038,0.565,23.40
idle,1767714402980,10602,0.074,0.013,0.924,18.588,2.855,0.435,23.40
idle,1767714402980,10617,0.075,0.004,0.931,18.519,2.870,0.710,23.35
idle,1767714402980,10633,0.078,0.011,0.927,18.710,3.076,0.641,23.35
idle,1767714402980,10648,0.075,0.010,0.925,18.656,3.115,0.786,23.45
idle,1767714402980,10663,0.073,0.008,0.931,18.496,2.878,0.695,23.45
idle,1767714402980,10680,0.076,0.011,0.925,18.550,2.992,0.649,23.45
idle,1767714402980,10695,0.075,0.007,0.926,18.618,3.145,0.802,23.31
idle,1767714402980,10711,0.067,0.007,0.927,18.473,2.916,0.779,23.40
idle,1767714402980,10726,0.073,0.014,0.925,18.466,3.130,0.626,23.31
idle,1767714402980,10742,0.076,0.011,0.935,18.504,3.076,0.573,23.40
idle,1767714402980,10758,0.071,0.007,0.927,18.443,2.985,0.763,23.40
idle,1767714402980,10773,0.076,0.010,0.929,18.450,2.870,0.634,23.35
idle,1767714402980,10788,0.075,0.011,0.928,18.527,2.916,0.557,23.45
idle,1767714402980,10804,0.078,0.004,0.932,18.611,3.038,0.687,23.35
idle,1767714402980,10820,0.074,0.007,0.937,18.496,2.878,0.618,23.45
idle,1767714402980,10835,0.076,0.007,0.926,18.427,3.015,0.702,23.35
idle,1767714402980,10851,0.072,0.005,0.922,18.481,3.198,0.740,23.40
idle,1767714402980,10866,0.072,0.012,0.933,18.565,2.992,0.786,23.40
idle,1767714402980,10882,0.072,0.008,0.928,18.504,2.901,0.649,23.31
idle,1767714402980,10898,0.073,0.006,0.922,18.473,2.931,0.595,23.40
idle,1767714402980,10913,0.072,0.008,0.934,18.557,2.977,0.603,23.35
idle,1767714402980,10929,0.077,0.009,0.931,18.557,2.901,0.809,23.54
idle,1767714402980,10944,0.074,0.007,0.923,18.473,3.137,0.702,23.45
idle,1767714402980,10959,0.073,0.014,0.929,18.626,2.985,0.939,23.45
idle,1767714402980,10976,0.072,0.014,0.932,18.481,2.908,0.588,23.40
idle,1767714402980,10991,0.076,0.012,0.931,18.527,2.985,0.595,23.40
idle,1767714402980,11006,0.073,0.014,0.929,18.450,2.847,0.634,23.40
idle,1767714402980,11022,0.071,0.012,0.923,18.496,2.962,0.588,23.40
idle,1767714402980,11037,0.076,0.006,0.925,18.504,3.008,0.702,23.31
idle,1767714402980,11054,0.074,0.010,0.931,18.420,2.931,0.618,23.45
idle,1767714402980,11069,0.072,0.011,0.937,18.519,3.046,0.611,23.45
idle,1767714402980,11084,0.076,0.005,0.926,18.573,3.130,0.595,23.45
idle,1767714402980,11100,0.076,0.011,0.918,18.519,2.870,0.763,23.35
