gesture,gesture_num,timestamp,aX,aY,aZ,gX,gY,gZ,temp
swipe_right,1,857,0.068,0.015,0.914,18.763,2.748,0.725,26.32
swipe_right,1,867,0.068,0.012,0.902,18.794,2.786,0.618,26.32
swipe_right,1,877,0.070,0.016,0.914,18.802,2.893,0.534,26.27
swipe_right,1,887,0.063,0.012,0.917,18.779,2.840,0.626,26.27
swipe_right,1,898,0.069,0.013,0.914,18.847,2.840,0.664,26.32
swipe_right,1,909,0.067,0.013,0.913,18.870,2.817,0.618,26.32
swipe_right,1,919,0.067,0.011,0.910,18.748,2.931,0.679,26.27
swipe_right,1,929,0.069,0.015,0.917,18.847,2.832,0.496,26.27
swipe_right,1,940,0.065,0.012,0.909,18.672,2.947,0.840,26.32
swipe_right,1,951,0.064,0.013,0.917,18.710,2.840,0.649,26.32
swipe_right,1,961,0.070,0.018,0.912,18.748,3.015,0.649,26.32
swipe_right,1,971,0.067,0.016,0.915,18.885,2.786,0.702,26.27
swipe_right,1,982,0.060,0.017,0.919,18.649,2.908,0.603,26.27
swipe_right,1,993,0.069,0.014,0.919,18.924,2.878,0.702,26.22
swipe_right,1,1003,0.060,0.014,0.910,18.656,2.840,0.618,26.32
swipe_right,1,1013,0.070,0.011,0.921,18.687,2.939,0.634,26.32
swipe_right,1,1024,0.059,0.014,0.904,18.809,2.870,0.649,26.22
swipe_right,1,1035,0.061,0.010,0.906,18.756,2.878,0.603,26.32
swipe_right,1,1045,0.070,0.017,0.906,18.794,2.916,0.695,26.27
swipe_right,1,1055,0.060,0.014,0.920,18.687,2.885,0.626,26.18
swipe_right,1,1067,0.071,0.013,0.912,18.695,2.863,0.580,26.27
swipe_right,1,1077,0.069,0.013,0.906,18.710,2.931,0.710,26.37
swipe_right,1,1087,0.067,0.019,0.916,18.809,2.855,0.511,26.37
swipe_right,1,1097,0.062,0.012,0.916,18.786,2.969,0.641,26.27
swipe_right,1,1108,0.063,0.009,0.912,18.763,2.893,0.687,26.27
swipe_right,1,1119,0.072,0.018,0.907,18.779,2.916,0.702,26.37
