gesture,gesture_num,timestamp,aX,aY,aZ,gX,gY,gZ,temp
idle,1,365,0.227,-0.034,0.910,18.916,4.099,1.519,24.06
idle,1,380,0.235,-0.030,0.897,18.817,3.695,1.794,24.11
idle,1,396,0.235,-0.029,0.901,19.763,2.626,0.534,24.11
idle,1,411,0.245,-0.021,0.882,17.977,2.237,0.290,24.25
idle,1,428,0.228,-0.035,0.902,18.847,4.122,1.405,24.11
idle,1,443,0.238,-0.027,0.910,18.046,2.687,0.344,24.20
idle,1,458,0.232,-0.037,0.896,17.847,3.588,0.527,24.15
idle,1,474,0.233,-0.033,0.917,18.634,1.725,-0.137,24.20
idle,1,489,0.234,-0.030,0.896,18.931,1.038,-0.504,24.20
idle,1,504,0.235,-0.029,0.902,19.809,1.916,-0.267,24.06
idle,1,520,0.232,-0.033,0.906,19.771,1.893,-0.611,24.11
idle,1,536,0.243,-0.028,0.892,18.534,0.725,0.290,24.11
idle,1,551,0.242,-0.030,0.887,18.489,1.916,-0.420,24.25
idle,1,567,0.240,-0.031,0.900,18.176,3.511,0.183,24.20
idle,1,582,0.236,-0.031,0.911,18.145,1.718,-0.260,24.29
idle,1,598,0.229,-0.033,0.892,18.794,2.679,0.168,24.15
idle,1,613,0.240,-0.034,0.916,19.435,2.496,0.176,24.20
idle,1,628,0.239,-0.039,0.903,19.756,0.420,0.153,24.01
idle,1,644,0.243,-0.028,0.887,19.092,1.573,1.611,24.06
idle,1,660,0.244,-0.030,0.891,19.656,3.893,2.153,24.20
idle,1,675,0.253,-0.021,0.897,17.099,2.015,0.901,24.06
idle,1,691,0.237,-0.044,0.907,18.679,3.153,0.649,24.06
idle,1,706,0.228,-0.037,0.917,18.298,1.069,0.580,24.11
idle,1,721,0.235,-0.034,0.895,18.885,0.817,0.000,24.15
idle,1,737,0.231,-0.028,0.904,19.450,0.328,0.275,24.11
idle,1,752,0.245,-0.029,0.892,19.069,0.939,-0.038,24.15
idle,1,769,0.242,-0.020,0.895,17.527,2.542,0.489,24.25
idle,1,784,0.239,-0.032,0.907,19.069,5.015,0.969,24.20
idle,1,799,0.248,-0.023,0.897,17.679,3.298,0.557,24.15
idle,1,815,0.239,-0.032,0.903,19.527,5.779,-0.214,24.11
idle,1,830,0.234,-0.027,0.898,17.901,3.473,-0.053,24.25
idle,1,845,0.230,-0.042,0.911,20.137,2.847,-0.649,24.15
idle,1,861,0.245,-0.022,0.900,18.672,1.947,0.580,24.15
idle,1,877,0.240,-0.031,0.890,18.916,3.817,0.214,24.11
idle,1,892,0.243,-0.036,0.900,18.038,3.611,0.267,24.15
idle,1,908,0.236,-0.031,0.897,18.221,2.802,0.527,24.11
idle,1,923,0.240,-0.031,0.900,18.534,3.023,-0.313,24.20
idle,1,939,0.233,-0.034,0.894,19.496,3.885,0.122,24.15
idle,1,954,0.227,-0.032,0.904,19.405,3.000,-0.107,24.06
idle,1,969,0.238,-0.029,0.898,19.115,2.626,0.252,24.20
idle,1,985,0.248,-0.028,0.896,18.557,3.809,0.656,24.06
idle,1,1001,0.242,-0.026,0.896,18.389,4.015,0.397,24.11
idle,1,1016,0.235,-0.027,0.899,17.885,3.656,0.962,24.20
idle,1,1032,0.232,-0.026,0.903,18.183,2.420,0.008,24.11
idle,1,1047,0.233,-0.035,0.888,18.603,2.725,-0.198,24.15
idle,1,1062,0.233,-0.027,0.902,18.534,2.863,0.244,24.15
idle,1,1079,0.233,-0.030,0.897,19.504,2.382,0.710,24.15
idle,1,1094,0.249,-0.033,0.906,19.588,1.420,0.527,24.20
idle,1,1110,0.242,-0.022,0.881,18.695,3.130,1.496,24.11
idle,1,1125,0.246,-0.029,0.903,18.847,4.695,0.985,24.20
idle,1,1140,0.239,-0.033,0.903,18.641,4.137,1.084,24.15
idle,1,1156,0.239,-0.029,0.887,18.267,4.588,0.191,24.15
idle,1,1172,0.233,-0.032,0.908,18.275,4.702,0.611,24.15
idle,1,1187,0.241,-0.035,0.898,17.794,3.061,-0.382,24.20
idle,1,1203,0.230,-0.029,0.900,18.817,3.748,-0.046,24.11
idle,1,1218,0.240,-0.032,0.904,19.008,2.176,-0.664,24.06
idle,1,1233,0.236,-0.030,0.896,18.916,3.573,-0.382,24.15
idle,1,1250,0.233,-0.038,0.910,19.947,2.084,0.183,24.25
idle,1,1265,0.247,-0.038,0.894,18.878,1.534,0.313,24.25
idle,1,1281,0.241,-0.029,0.895,18.863,3.382,-0.519,24.29
idle,1,1296,0.231,-0.033,0.894,19.260,3.321,-0.099,24.20
idle,1,1311,0.229,-0.027,0.908,19.489,2.092,0.321,24.11
idle,1,1327,0.240,-0.025,0.891,19.626,3.565,1.290,24.20
idle,1,1343,0.242,-0.016,0.894,18.053,4.969,-0.198,24.15
idle,1,1358,0.237,-0.042,0.890,17.588,7.939,-0.855,24.25
idle,1,1374,0.222,-0.034,0.933,18.618,4.756,-0.305,24.15
idle,1,1389,0.240,-0.028,0.896,17.931,1.260,-1.061,24.15
idle,1,1404,0.231,-0.024,0.895,19.145,3.931,-0.580,24.11
idle,1,1421,0.222,-0.038,0.917,20.244,3.420,-0.313,24.11
idle,1,1436,0.231,-0.019,0.896,19.534,1.313,-0.351,24.11
idle,1,1452,0.233,-0.022,0.901,20.305,4.229,0.305,24.25
idle,1,1467,0.250,-0.027,0.898,19.160,5.145,0.053,24.11
idle,1,1482,0.238,-0.028,0.894,18.458,4.313,-0.053,24.15
idle,1,1499,0.231,-0.027,0.906,18.901,3.725,0.710,24.25
idle,1,1514,0.228,-0.031,0.901,18.344,3.389,1.282,24.15
idle,1,1529,0.234,-0.031,0.905,19.191,3.405,1.344,24.11
idle,1,1545,0.228,-0.031,0.906,19.076,2.061,1.328,24.20
idle,1,1560,0.236,-0.030,0.899,19.588,1.328,0.969,24.11
idle,1,1575,0.239,-0.030,0.901,19.153,1.870,1.344,24.11
idle,1,1592,0.243,-0.029,0.903,18.794,2.244,0.397,24.15
idle,1,1607,0.229,-0.033,0.904,18.809,1.405,0.221,24.15
idle,1,1623,0.230,-0.031,0.892,18.885,1.679,0.626,24.06
idle,1,1638,0.232,-0.033,0.900,18.282,1.534,0.305,24.11
idle,1,1653,0.235,-0.026,0.895,18.458,2.252,0.649,24.15
idle,1,1670,0.239,-0.021,0.902,18.603,1.908,0.290,24.11
idle,1,1685,0.235,-0.020,0.901,18.779,2.702,0.244,24.15
idle,1,1700,0.235,-0.019,0.896,18.809,3.748,0.664,24.06
idle,1,1716,0.236,-0.039,0.895,19.802,4.840,0.450,24.11
idle,1,1731,0.234,-0.034,0.912,19.328,2.756,0.069,24.11
idle,1,1746,0.242,-0.027,0.892,19.046,1.397,-0.969,24.20
idle,1,1763,0.233,-0.033,0.906,19.389,2.603,-0.435,24.06
idle,1,1778,0.235,-0.022,0.897,19.092,2.565,0.359,24.15
idle,1,1794,0.232,-0.026,0.908,19.405,2.076,0.550,24.06
idle,1,1809,0.246,-0.023,0.898,19.710,4.122,0.130,24.20
idle,1,1824,0.236,-0.029,0.894,18.802,3.855,0.252,24.20
idle,1,1840,0.230,-0.029,0.910,19.962,1.710,0.786,24.11
idle,1,1856,0.243,-0.027,0.889,18.885,-0.107,1.015,24.15
idle,1,1871,0.247,-0.029,0.889,18.748,1.710,0.557,24.15
idle,1,1887,0.232,-0.020,0.901,17.489,1.824,0.328,24.15
idle,1,1902,0.234,-0.027,0.898,18.870,2.763,0.679,24.11
idle,1,1917,0.237,-0.034,0.905,18.794,1.802,0.603,24.20
idle,1,1934,0.231,-0.036,0.903,19.710,0.725,0.863,24.20
idle,1,1949,0.241,-0.027,0.896,19.069,-0.435,1.710,24.15
idle,1,1965,0.247,-0.021,0.899,18.802,-1.000,1.168,24.15
idle,1,1980,0.248,-0.023,0.890,18.519,-0.076,0.870,24.20
idle,1,1995,0.253,-0.016,0.897,17.870,0.305,0.305,24.06
idle,1,2011,0.243,-0.026,0.898,17.687,1.038,-0.023,24.15
idle,1,2027,0.236,-0.025,0.905,18.511,0.504,0.649,24.15
idle,1,2042,0.229,-0.030,0.895,18.939,1.153,0.679,24.11
idle,1,2058,0.236,-0.022,0.889,18.229,1.954,2.008,24.11
idle,1,2073,0.251,-0.025,0.896,19.069,3.008,1.176,24.11
idle,1,2088,0.240,-0.027,0.904,19.344,2.756,1.702,24.15
idle,1,2104,0.255,-0.021,0.899,18.534,1.740,0.779,24.15
idle,1,2120,0.248,-0.025,0.894,18.336,3.389,0.267,24.15
idle,1,2136,0.236,-0.033,0.900,18.603,2.962,0.748,24.25
idle,1,2151,0.237,-0.035,0.898,19.481,2.305,1.420,24.11
idle,1,2166,0.258,-0.022,0.902,18.718,2.214,0.099,24.11
idle,1,2182,0.241,-0.026,0.901,19.008,1.649,-0.511,24.11
idle,1,2198,0.243,-0.027,0.889,19.221,1.710,0.786,24.25
idle,1,2213,0.238,-0.034,0.907,19.832,2.427,0.634,24.25
idle,1,2229,0.255,-0.020,0.900,18.153,2.061,1.008,24.15
idle,1,2244,0.253,-0.021,0.886,18.954,3.046,0.511,24.20
idle,1,2259,0.235,-0.027,0.897,18.313,2.718,0.435,24.20
idle,1,2275,0.237,-0.034,0.902,18.985,4.321,1.870,24.20
idle,1,2291,0.248,-0.026,0.902,19.061,2.626,1.069,24.20
idle,1,2307,0.248,-0.021,0.888,18.771,2.779,0.588,24.15
idle,1,2322,0.243,-0.026,0.904,19.298,3.099,0.244,24.15
idle,1,2337,0.240,-0.028,0.900,19.374,3.244,0.557,24.20
idle,1,2353,0.229,-0.035,0.914,20.557,1.748,0.603,24.20
idle,1,2369,0.252,-0.031,0.885,19.382,0.557,0.191,24.25
idle,1,2384,0.251,-0.023,0.900,19.275,2.214,0.649,24.15
idle,1,2400,0.247,-0.023,0.894,18.542,2.489,1.817,24.15
idle,1,2415,0.251,-0.021,0.884,18.458,4.099,1.718,24.15
idle,1,2430,0.257,-0.019,0.906,18.450,4.473,1.344,24.15
idle,1,2446,0.256,-0.029,0.897,18.046,4.374,1.061,24.20
idle,1,2462,0.243,-0.028,0.907,18.069,3.206,0.809,24.20
idle,1,2478,0.240,-0.031,0.909,18.794,0.168,1.008,24.15
idle,1,2493,0.244,-0.029,0.899,18.603,-0.450,1.695,24.15
idle,1,2508,0.250,-0.027,0.899,19.046,2.183,2.153,24.25
idle,1,2524,0.255,-0.019,0.896,18.061,1.214,1.191,24.20
idle,1,2540,0.245,-0.025,0.889,18.221,2.084,0.931,24.20
idle,1,2555,0.231,-0.027,0.899,18.244,2.328,0.710,24.11
idle,1,2571,0.233,-0.032,0.888,18.664,2.336,0.802,24.15
idle,1,2586,0.247,-0.024,0.899,19.267,3.000,1.160,24.25
idle,1,2601,0.258,-0.020,0.894,18.985,2.359,0.336,24.06
idle,1,2617,0.260,-0.026,0.891,18.595,3.321,0.366,24.11
idle,1,2633,0.245,-0.025,0.902,18.756,3.344,0.389,24.29
idle,1,2649,0.240,-0.021,0.887,18.389,3.809,0.740,24.20
idle,1,2664,0.248,-0.029,0.903,19.145,5.221,1.130,24.15
idle,1,2679,0.253,-0.029,0.892,18.656,4.389,1.023,24.06
idle,1,2695,0.247,-0.025,0.903,18.969,4.695,0.313,24.15
idle,1,2711,0.241,-0.031,0.906,19.153,2.359,0.374,24.15
idle,1,2726,0.242,-0.028,0.898,19.229,2.687,0.710,24.20
idle,1,2742,0.242,-0.024,0.897,19.237,2.702,0.015,24.20
idle,1,2757,0.239,-0.028,0.896,19.107,1.695,0.214,24.20
idle,1,2772,0.252,-0.025,0.887,19.176,3.282,1.321,24.15
idle,1,2788,0.250,-0.018,0.895,18.336,3.824,0.672,24.15
idle,1,2804,0.249,-0.028,0.903,19.527,4.397,0.550,24.15
idle,1,2820,0.242,-0.029,0.899,18.802,2.130,0.519,24.20
idle,1,2835,0.249,-0.024,0.894,19.008,2.740,0.252,24.20
idle,1,2850,0.243,-0.026,0.897,18.511,2.206,0.008,24.15
idle,1,2866,0.234,-0.024,0.894,19.351,2.580,1.214,24.25
idle,1,2882,0.258,-0.019,0.894,18.870,3.779,0.641,24.06
idle,1,2897,0.244,-0.022,0.901,19.366,4.053,-0.244,24.29
idle,1,2913,0.234,-0.031,0.902,20.168,4.168,0.679,24.15
idle,1,2928,0.243,-0.027,0.904,19.893,3.359,1.198,24.11
idle,1,2944,0.262,-0.017,0.895,19.542,4.221,1.466,24.15
idle,1,2959,0.250,-0.022,0.891,19.092,4.656,1.000,24.15
idle,1,2975,0.251,-0.028,0.906,19.084,4.176,0.740,24.15
idle,1,2991,0.241,-0.031,0.889,18.618,3.076,1.145,24.29
idle,1,3006,0.248,-0.027,0.903,19.061,2.115,0.802,24.11
idle,1,3021,0.248,-0.021,0.895,18.038,2.664,0.817,24.20
idle,1,3037,0.236,-0.024,0.906,18.626,2.924,0.534,24.15
idle,1,3053,0.247,-0.016,0.889,18.687,2.832,1.008,24.15
idle,1,3068,0.250,-0.021,0.896,18.870,4.794,0.817,24.25
idle,1,3084,0.242,-0.022,0.904,18.771,3.969,0.634,24.11
idle,1,3099,0.251,-0.031,0.892,19.008,3.137,0.481,24.20
idle,1,3115,0.237,-0.022,0.896,18.382,1.962,0.771,24.15
idle,1,3130,0.241,-0.024,0.892,18.580,2.237,1.145,24.20
idle,1,3146,0.243,-0.028,0.900,18.557,2.924,0.954,24.25
idle,1,3162,0.244,-0.030,0.902,18.802,1.779,0.214,24.25
idle,1,3177,0.242,-0.023,0.894,18.771,1.840,0.351,24.20
idle,1,3192,0.248,-0.031,0.901,19.069,2.656,0.679,24.20
idle,1,3208,0.245,-0.018,0.902,18.595,1.863,0.458,24.11
idle,1,3224,0.249,-0.022,0.890,18.664,3.412,0.511,24.15
idle,1,3239,0.240,-0.024,0.917,18.794,2.527,0.481,24.25
idle,1,3255,0.250,-0.019,0.891,18.107,2.534,-0.290,24.25
idle,1,3270,0.236,-0.022,0.899,18.496,3.389,0.076,24.06
idle,1,3286,0.247,-0.024,0.904,18.382,1.779,0.122,24.11
idle,1,3301,0.245,-0.024,0.888,18.519,3.122,-0.115,24.11
idle,1,3317,0.240,-0.030,0.898,18.916,3.038,-0.176,24.25
idle,1,3333,0.246,-0.024,0.895,18.771,3.282,0.427,24.25
idle,1,3348,0.253,-0.030,0.901,19.313,3.046,0.511,24.25
idle,1,3363,0.250,-0.025,0.906,18.931,1.137,0.771,24.15
idle,1,3379,0.257,-0.017,0.887,17.695,1.481,0.725,24.15
idle,1,3395,0.238,-0.027,0.899,18.687,2.847,0.817,24.11
idle,1,3410,0.240,-0.022,0.906,18.328,1.229,0.710,24.29
idle,1,3426,0.249,-0.025,0.897,19.527,3.092,0.405,24.20
idle,1,3441,0.245,-0.023,0.906,18.947,1.229,-0.092,24.25
idle,1,3457,0.247,-0.021,0.890,19.427,1.137,0.916,24.15
idle,1,3473,0.254,-0.020,0.900,19.519,2.267,1.656,24.15
idle,1,3488,0.255,-0.011,0.893,18.412,1.489,0.924,24.20
idle,1,3504,0.250,-0.022,0.886,17.847,3.260,0.504,24.20
idle,1,3519,0.240,-0.028,0.899,18.321,4.122,0.664,24.25
idle,1,3534,0.237,-0.028,0.910,19.076,2.374,0.527,24.15
idle,1,3550,0.246,-0.016,0.890,18.939,2.931,0.504,24.25
idle,1,3566,0.244,-0.023,0.907,19.687,3.565,0.534,24.25
idle,1,3581,0.260,-0.013,0.901,18.473,2.252,0.840,24.20
idle,1,3597,0.252,-0.021,0.896,18.336,4.847,0.580,24.11
idle,1,3612,0.250,-0.026,0.904,18.382,4.611,0.557,24.11
idle,1,3628,0.239,-0.022,0.898,18.664,3.191,-0.038,24.25
idle,1,3643,0.238,-0.027,0.901,18.718,3.847,0.267,24.15
idle,1,3659,0.250,-0.030,0.912,19.145,2.756,0.092,24.25
idle,1,3675,0.235,-0.008,0.893,19.038,1.229,0.176,24.25
idle,1,3690,0.242,-0.026,0.893,20.046,3.527,0.710,24.20
idle,1,3705,0.256,-0.020,0.893,18.191,3.099,0.405,24.20
idle,1,3721,0.245,-0.021,0.903,18.618,2.626,-0.427,24.06
idle,1,3737,0.235,-0.028,0.903,19.061,2.443,0.412,24.15
idle,1,3752,0.254,-0.019,0.902,18.527,2.519,0.458,24.15
idle,1,3768,0.255,-0.020,0.892,18.634,2.786,0.473,24.20
idle,1,3783,0.240,-0.023,0.906,19.092,1.901,0.573,24.20
idle,1,3799,0.249,-0.021,0.901,18.634,3.168,0.779,24.20
idle,1,3814,0.250,-0.023,0.893,18.847,4.359,0.580,24.11
idle,1,3830,0.243,-0.030,0.902,19.153,2.099,0.099,24.25
idle,1,3846,0.243,-0.021,0.887,19.351,1.695,0.634,24.25
idle,1,3861,0.250,-0.024,0.896,19.031,2.191,0.183,24.20
idle,1,3876,0.259,-0.024,0.892,17.840,2.466,-0.137,24.11
idle,1,3892,0.237,-0.026,0.906,19.107,1.275,0.000,24.20
idle,1,3907,0.248,-0.020,0.888,18.626,1.511,0.550,24.15
idle,1,3923,0.245,-0.013,0.899,18.649,3.756,0.198,24.15
idle,1,3939,0.243,-0.033,0.893,18.786,3.496,-0.153,24.20
idle,1,3954,0.242,-0.026,0.898,19.427,2.107,0.504,24.20
idle,1,3970,0.255,-0.023,0.882,18.794,3.084,0.702,24.20
idle,1,3985,0.252,-0.012,0.901,18.130,4.221,1.115,24.15
idle,1,4001,0.259,-0.018,0.896,17.771,4.374,0.565,24.15
idle,1,4017,0.238,-0.029,0.910,18.771,3.130,0.176,24.15
idle,1,4032,0.239,-0.025,0.897,18.748,2.626,0.626,24.20
idle,1,4047,0.254,-0.022,0.898,19.053,3.626,-0.145,24.20
idle,1,4063,0.250,-0.022,0.900,19.260,2.107,-0.557,24.20
idle,1,4078,0.242,-0.026,0.895,19.000,0.947,0.282,24.15
idle,1,4094,0.253,-0.020,0.900,19.107,2.298,0.824,24.25
idle,1,4110,0.260,-0.017,0.894,17.924,2.389,-0.198,24.11
idle,1,4125,0.240,-0.028,0.897,18.962,3.702,0.031,24.20
idle,1,4141,0.240,-0.023,0.913,19.534,2.038,0.221,24.20
idle,1,4156,0.254,-0.027,0.879,18.809,3.412,0.298,24.25
idle,1,4171,0.249,-0.025,0.912,18.771,3.427,-0.702,24.25
idle,1,4188,0.243,-0.028,0.894,18.985,2.115,-0.191,24.25
idle,1,4203,0.248,-0.019,0.905,18.908,2.618,0.420,24.15
idle,1,4218,0.261,-0.013,0.898,19.443,2.916,-0.183,24.20
idle,1,4234,0.255,-0.026,0.887,18.611,3.939,-0.137,24.29
idle,1,4249,0.234,-0.027,0.913,18.153,1.260,-0.374,24.20
idle,1,4265,0.249,-0.024,0.890,18.176,2.115,0.374,24.15
idle,1,4281,0.246,-0.021,0.911,19.046,3.603,0.435,24.25
idle,1,4296,0.257,-0.013,0.883,17.985,2.939,0.076,24.25
idle,1,4312,0.250,-0.022,0.892,18.893,5.130,0.130,24.15
idle,1,4327,0.248,-0.026,0.897,17.802,3.977,-0.519,24.20
idle,1,4343,0.248,-0.027,0.906,18.824,2.481,-0.214,24.20
idle,1,4359,0.248,-0.021,0.889,18.481,2.115,0.000,24.11
idle,1,4374,0.246,-0.022,0.902,19.321,2.603,0.198,24.15
idle,1,4389,0.251,-0.016,0.911,18.870,2.519,0.290,24.15
idle,1,4405,0.256,-0.025,0.889,18.397,1.763,-0.366,24.11
idle,1,4420,0.244,-0.021,0.893,18.481,2.183,0.618,24.11
idle,1,4436,0.252,-0.022,0.900,18.603,1.534,0.725,24.20
idle,1,4452,0.253,-0.016,0.891,18.397,2.725,1.015,24.25
idle,1,4467,0.247,-0.019,0.909,18.397,2.985,0.534,24.25
idle,1,4483,0.237,-0.019,0.903,18.267,1.519,0.397,24.15
idle,1,4498,0.250,-0.023,0.890,18.931,3.275,0.412,24.25
idle,1,4514,0.249,-0.022,0.905,19.366,3.298,0.198,24.11
idle,1,4530,0.252,-0.023,0.894,18.214,2.359,-0.412,24.11
idle,1,4545,0.249,-0.023,0.901,19.603,2.939,-0.947,24.11
idle,1,4560,0.250,-0.022,0.889,18.710,2.802,-0.168,24.29
idle,1,4576,0.257,-0.024,0.892,18.710,3.374,0.496,24.15
idle,1,4591,0.248,-0.021,0.894,17.893,2.565,0.450,24.25
idle,1,4608,0.253,-0.021,0.897,18.542,3.336,0.366,24.25
idle,1,4623,0.252,-0.017,0.897,18.557,3.794,0.443,24.20
idle,1,4638,0.244,-0.025,0.897,19.153,4.863,0.481,24.11
idle,1,4654,0.256,-0.017,0.893,18.901,6.122,0.221,24.20
idle,1,4669,0.251,-0.032,0.904,19.198,6.664,-1.267,24.15
idle,1,4685,0.241,-0.035,0.883,18.053,7.244,0.893,24.29
idle,1,4701,0.241,-0.020,0.900,19.450,7.305,0.122,24.15
idle,1,4716,0.236,-0.031,0.890,18.870,6.313,0.588,24.15
idle,1,4731,0.245,-0.023,0.900,19.618,6.947,1.351,24.20
idle,1,4747,0.246,-0.028,0.903,19.260,5.099,0.664,24.20
idle,1,4762,0.260,-0.021,0.893,18.221,3.809,0.053,24.20
idle,1,4779,0.244,-0.024,0.904,18.397,2.473,0.282,24.15
idle,1,4794,0.249,-0.027,0.898,18.344,1.542,0.565,24.15
idle,1,4809,0.248,-0.028,0.907,18.214,0.466,-0.053,24.15
idle,1,4825,0.239,-0.021,0.893,18.359,0.237,-0.198,24.29
idle,1,4840,0.248,-0.026,0.898,18.893,0.450,0.275,24.20
idle,1,4856,0.253,-0.019,0.895,18.321,-0.023,0.481,24.20
idle,1,4872,0.242,-0.021,0.898,18.290,1.168,0.519,24.15
idle,1,4887,0.242,-0.026,0.902,18.710,2.191,1.160,24.15
idle,1,4902,0.251,-0.012,0.906,18.328,1.328,0.679,24.15
idle,1,4918,0.249,-0.025,0.891,18.641,2.153,0.511,24.20
idle,1,4933,0.251,-0.029,0.896,18.443,2.107,0.603,24.20
idle,1,4950,0.244,-0.023,0.896,18.557,2.885,0.695,24.20
idle,1,4965,0.250,-0.018,0.890,18.244,3.511,0.779,24.25
