gesture,gesture_num,timestamp,aX,aY,aZ,gX,gY,gZ,temp
swipe_down,1,322,0.072,0.319,0.860,18.954,2.916,0.611,24.29
swipe_down,1,332,0.077,0.318,0.861,18.901,2.992,0.687,24.25
swipe_down,1,343,0.075,0.317,0.850,18.863,2.954,0.710,24.25
swipe_down,1,353,0.068,0.317,0.855,18.939,2.931,0.504,24.20
swipe_down,1,364,0.075,0.315,0.854,18.939,2.893,0.687,24.34
swipe_down,1,374,0.073,0.314,0.868,18.969,2.992,0.649,24.34
swipe_down,1,385,0.071,0.318,0.862,18.947,2.992,0.618,24.29
swipe_down,1,395,0.067,0.311,0.859,19.000,2.908,0.672,24.20
swipe_down,1,405,0.069,0.318,0.867,18.962,3.053,0.611,24.25
swipe_down,1,416,0.071,0.318,0.860,18.962,2.794,0.427,24.29
swipe_down,1,427,0.073,0.315,0.862,18.809,2.985,0.794,24.39
swipe_down,1,437,0.072,0.324,0.864,18.832,3.107,0.626,24.34
swipe_down,1,447,0.070,0.313,0.864,18.924,2.817,0.611,24.34
swipe_down,1,458,0.071,0.314,0.857,18.649,2.916,0.672,24.39
swipe_down,1,468,0.070,0.315,0.864,18.954,2.878,0.672,24.34
swipe_down,1,479,0.072,0.314,0.860,18.969,2.763,0.588,24.34
swipe_down,1,489,0.069,0.312,0.860,18.763,2.893,0.542,24.20
swipe_down,1,500,0.072,0.318,0.853,18.893,2.855,0.595,24.20
swipe_down,1,510,0.069,0.321,0.854,18.977,2.794,0.710,24.25
swipe_down,1,521,0.073,0.317,0.877,18.893,3.076,0.595,24.20
swipe_down,1,531,0.068,0.310,0.861,19.092,3.008,0.832,24.29
swipe_down,1,542,0.071,0.313,0.869,18.786,2.962,0.511,24.34
swipe_down,1,552,0.073,0.314,0.858,18.985,2.870,0.649,24.34
swipe_down,1,563,0.074,0.323,0.857,18.786,2.931,0.603,24.39
swipe_down,1,573,0.071,0.316,0.858,18.939,2.893,0.588,24.34
swipe_down,1,584,0.071,0.317,0.860,18.885,2.924,0.672,24.20
swipe_down,1,594,0.079,0.317,0.858,19.092,2.947,0.573,24.39
swipe_down,1,605,0.075,0.316,0.858,18.931,3.023,0.634,24.34
swipe_down,1,615,0.073,0.323,0.861,18.931,2.702,0.664,24.25
swipe_down,1,625,0.071,0.320,0.857,18.809,2.931,0.641,24.29
swipe_down,1,636,0.071,0.318,0.862,18.947,2.992,0.542,24.29
swipe_down,1,647,0.070,0.318,0.865,18.947,2.840,0.641,24.25
swipe_down,1,657,0.070,0.320,0.858,18.962,3.076,0.603,24.29
swipe_down,1,667,0.066,0.314,0.865,18.748,2.916,0.611,24.29
swipe_down,1,678,0.073,0.317,0.851,18.855,3.053,0.595,24.34
swipe_down,1,689,0.067,0.317,0.852,18.947,2.985,0.702,24.25
swipe_down,1,699,0.073,0.322,0.858,18.939,2.947,0.756,24.39
swipe_down,1,709,0.074,0.317,0.862,18.740,3.008,0.618,24.29
swipe_down,1,720,0.063,0.319,0.864,18.748,2.969,0.641,24.25
swipe_down,1,731,0.072,0.315,0.853,18.863,3.008,0.504,24.29
swipe_down,1,741,0.071,0.313,0.866,18.794,2.969,0.634,24.39
swipe_down,1,751,0.073,0.321,0.863,18.802,2.840,0.740,24.34
swipe_down,1,762,0.069,0.319,0.858,18.809,2.878,0.588,24.34
swipe_down,1,773,0.073,0.320,0.865,18.748,2.908,0.626,24.29
swipe_down,1,783,0.076,0.316,0.864,18.908,2.977,0.656,24.39
swipe_down,1,793,0.072,0.320,0.861,18.855,2.870,0.679,24.25
swipe_down,1,804,0.077,0.314,0.859,19.015,2.863,0.763,24.29
swipe_down,1,815,0.070,0.319,0.872,18.496,2.809,0.702,24.29
swipe_down,1,825,0.072,0.309,0.854,19.191,2.824,0.595,24.25
swipe_down,1,835,0.068,0.316,0.869,18.634,2.924,0.595,24.29
swipe_down,1,845,0.069,0.319,0.872,18.962,2.924,0.588,24.29
swipe_down,1,857,0.071,0.318,0.857,19.076,2.794,0.634,24.34
swipe_down,1,867,0.073,0.319,0.867,18.718,3.046,0.473,24.25
swipe_down,1,877,0.068,0.318,0.871,18.763,3.191,0.649,24.29
swipe_down,1,887,0.071,0.314,0.853,19.046,2.817,0.534,24.39
swipe_down,1,899,0.072,0.317,0.858,18.771,2.855,0.534,24.34
swipe_down,1,909,0.073,0.314,0.863,18.863,2.985,0.595,24.34
swipe_down,1,919,0.071,0.314,0.864,18.771,2.985,0.710,24.39
swipe_down,1,929,0.074,0.321,0.858,19.038,3.046,0.687,24.20
swipe_down,1,941,0.069,0.314,0.860,18.824,2.992,0.634,24.34
swipe_down,1,951,0.067,0.320,0.869,18.725,2.992,0.634,24.29
swipe_down,1,961,0.075,0.314,0.862,18.977,2.893,0.695,24.20
swipe_down,1,971,0.074,0.318,0.854,18.847,3.214,0.756,24.34
swipe_down,1,983,0.072,0.316,0.859,18.863,2.840,0.511,24.25
swipe_down,1,993,0.069,0.320,0.855,18.824,3.031,0.603,24.39
swipe_down,1,1003,0.067,0.318,0.856,18.878,3.008,0.626,24.34
swipe_down,1,1013,0.070,0.313,0.857,18.855,3.107,0.718,24.34
swipe_down,1,1025,0.075,0.323,0.858,18.794,2.908,0.733,24.34
swipe_down,1,1035,0.074,0.320,0.862,18.771,2.954,0.634,24.34
swipe_down,1,1045,0.069,0.319,0.864,18.954,3.061,0.588,24.34
swipe_down,1,1056,0.073,0.318,0.856,19.023,2.824,0.481,24.34
swipe_down,1,1067,0.071,0.313,0.868,18.863,2.969,0.565,24.29
swipe_down,1,1077,0.075,0.318,0.865,18.855,2.802,0.588,24.34
swipe_down,1,1087,0.078,0.314,0.861,18.878,2.939,0.656,24.29
swipe_down,1,1098,0.067,0.323,0.857,18.893,2.718,0.611,24.25
swipe_down,1,1108,0.074,0.314,0.863,18.954,2.985,0.481,24.39
swipe_down,1,1119,0.072,0.314,0.857,18.794,3.038,0.679,24.34
swipe_down,1,1130,0.079,0.322,0.860,18.908,3.000,0.618,24.29
swipe_down,1,1140,0.068,0.317,0.861,18.779,2.924,0.565,24.29
swipe_down,1,1150,0.075,0.319,0.858,18.893,2.870,0.649,24.29
swipe_down,1,1162,0.073,0.313,0.860,19.015,2.878,0.618,24.29
swipe_down,1,1172,0.072,0.315,0.865,18.809,2.947,0.573,24.29
swipe_down,1,1182,0.073,0.317,0.860,18.901,2.794,0.519,24.29
swipe_down,1,1192,0.072,0.316,0.860,18.885,2.901,0.626,24.39
swipe_down,1,1204,0.074,0.319,0.861,18.840,2.977,0.611,24.29
swipe_down,1,1214,0.074,0.316,0.856,18.855,2.870,0.580,24.34
swipe_down,1,1224,0.076,0.314,0.858,18.855,2.985,0.527,24.25
swipe_down,1,1235,0.075,0.313,0.861,18.893,2.901,0.641,24.34
swipe_down,1,1246,0.075,0.320,0.859,18.855,2.870,0.641,24.25
swipe_down,1,1256,0.076,0.316,0.864,18.893,2.985,0.740,24.34
swipe_down,1,1267,0.074,0.314,0.860,18.992,2.908,0.740,24.34
swipe_down,1,1277,0.069,0.317,0.854,18.863,2.870,0.435,24.34
swipe_down,1,1288,0.072,0.318,0.866,18.901,2.840,0.588,24.34
swipe_down,1,1298,0.077,0.319,0.865,18.771,2.977,0.595,24.34
swipe_down,1,1309,0.071,0.315,0.865,18.840,2.908,0.771,24.44
swipe_down,1,1319,0.071,0.315,0.858,18.924,3.046,0.687,24.29
swipe_down,1,1330,0.070,0.319,0.863,18.893,2.916,0.542,24.29
swipe_down,1,1341,0.067,0.316,0.861,18.794,2.817,0.588,24.39
swipe_down,1,1351,0.071,0.316,0.861,18.771,2.885,0.511,24.29
swipe_down,1,1361,0.069,0.316,0.868,18.786,2.702,0.611,24.29
swipe_down,1,1373,0.075,0.317,0.857,18.817,2.962,0.710,24.29
swipe_down,1,1383,0.074,0.315,0.869,18.550,2.939,0.573,24.39
swipe_down,1,1393,0.070,0.311,0.857,19.084,3.084,0.550,24.39
swipe_down,1,1403,0.073,0.318,0.860,18.687,2.824,0.595,24.29
swipe_down,1,1415,0.070,0.314,0.857,18.908,2.863,0.611,24.39
swipe_down,1,1425,0.068,0.314,0.855,18.786,2.794,0.504,24.29
swipe_down,1,1435,0.070,0.313,0.856,18.771,2.947,0.740,24.44
swipe_down,1,1446,0.071,0.316,0.864,18.924,2.847,0.481,24.25
swipe_down,1,1457,0.070,0.312,0.853,19.099,2.878,0.710,24.25
swipe_down,1,1467,0.067,0.315,0.865,18.885,2.695,0.695,24.34
swipe_down,1,1477,0.079,0.311,0.861,18.771,2.878,0.664,24.34
swipe_down,1,1488,0.071,0.323,0.867,19.076,2.924,0.550,24.34
swipe_down,1,1499,0.075,0.313,0.859,18.779,3.046,0.534,24.39
swipe_down,1,1509,0.073,0.319,0.860,18.870,2.802,0.618,24.34
