gesture,gesture_num,timestamp,aX,aY,aZ,gX,gY,gZ,temp
rotate_cw,1,555,0.173,-0.045,0.842,20.198,-18.573,7.305,26.08
rotate_cw,1,566,0.150,-0.005,0.906,19.809,-12.878,7.069,25.99
rotate_cw,1,576,0.141,0.002,0.889,15.710,-10.481,1.756,26.22
rotate_cw,1,586,0.136,-0.021,0.903,12.901,-5.573,1.176,26.08
rotate_cw,1,598,0.105,-0.049,0.883,12.420,-2.313,7.954,26.08
rotate_cw,1,608,0.145,-0.022,0.908,15.267,1.580,12.603,26.08
rotate_cw,1,618,0.171,-0.050,0.898,16.595,5.893,10.214,25.99
rotate_cw,1,629,0.163,-0.022,0.904,20.122,6.664,5.099,25.99
rotate_cw,1,640,0.152,-0.028,0.895,21.595,7.099,1.534,26.08
rotate_cw,1,650,0.134,-0.028,0.902,21.092,7.336,0.466,26.08
rotate_cw,1,660,0.140,-0.033,0.921,21.817,5.809,-0.702,26.08
rotate_cw,1,671,0.123,-0.035,0.918,23.374,5.466,-1.244,26.13
rotate_cw,1,681,0.105,-0.035,0.908,24.580,3.748,1.092,26.13
rotate_cw,1,692,0.103,-0.030,0.932,26.069,-1.038,4.344,26.13
rotate_cw,1,702,0.113,-0.026,0.928,28.748,-4.725,6.702,26.13
rotate_cw,1,713,0.116,-0.033,0.918,30.931,-3.985,6.015,26.13
rotate_cw,1,723,0.108,-0.037,0.903,30.664,-1.351,7.069,26.08
rotate_cw,1,734,0.101,-0.043,0.892,30.542,0.420,12.702,26.08
rotate_cw,1,745,0.122,-0.026,0.874,26.580,7.046,16.580,26.08
rotate_cw,1,755,0.142,-0.016,0.883,23.824,9.885,13.382,26.08
rotate_cw,1,765,0.133,-0.028,0.895,21.015,7.969,7.092,26.08
rotate_cw,1,776,0.131,-0.035,0.898,18.191,7.656,8.366,26.08
rotate_cw,1,787,0.140,-0.018,0.889,15.000,4.603,4.763,26.08
rotate_cw,1,797,0.135,-0.009,0.890,10.802,2.099,1.443,26.18
rotate_cw,1,807,0.121,-0.027,0.895,8.031,0.603,-0.466,26.13
rotate_cw,1,818,0.110,-0.007,0.911,15.496,9.656,-2.809,26.13
rotate_cw,1,829,0.101,-0.050,0.900,13.977,11.794,-1.992,26.18
rotate_cw,1,839,0.104,-0.038,0.916,12.695,10.252,-1.595,25.99
rotate_cw,1,849,0.101,-0.032,0.916,15.466,11.725,-2.122,26.08
rotate_cw,1,861,0.099,-0.053,0.922,15.771,8.748,-0.588,26.04
rotate_cw,1,871,0.104,-0.033,0.916,16.702,7.481,-0.901,26.08
rotate_cw,1,881,0.094,-0.044,0.924,17.008,5.863,-0.443,26.18
rotate_cw,1,891,0.086,-0.045,0.913,17.809,4.565,0.000,26.18
rotate_cw,1,903,0.105,-0.036,0.905,19.046,5.382,-0.504,26.08
rotate_cw,1,913,0.097,-0.042,0.905,18.328,6.824,-0.870,26.13
rotate_cw,1,923,0.110,-0.043,0.904,18.595,7.565,-0.527,26.04
rotate_cw,1,933,0.105,-0.045,0.901,18.344,9.389,-1.328,26.04
rotate_cw,1,945,0.109,-0.039,0.910,19.160,9.290,-2.313,26.08
rotate_cw,1,955,0.116,-0.030,0.907,20.046,7.870,-3.084,26.18
rotate_cw,1,965,0.105,-0.038,0.911,20.695,8.656,-4.336,26.08
rotate_cw,1,975,0.094,-0.028,0.915,22.305,7.908,-5.458,26.08
rotate_cw,1,987,0.097,-0.034,0.911,21.275,8.214,-4.351,26.04
rotate_cw,1,997,0.102,-0.026,0.903,21.015,8.389,-4.160,26.13
rotate_cw,1,1007,0.094,-0.032,0.911,20.985,9.458,-2.282,26.13
rotate_cw,1,1018,0.092,-0.035,0.918,20.321,9.573,-0.870,26.04
rotate_cw,1,1029,0.082,-0.028,0.905,20.954,9.298,-2.855,26.04
rotate_cw,1,1039,0.106,-0.039,0.924,25.618,6.229,-4.573,26.08
rotate_cw,1,1050,0.099,-0.043,0.908,28.962,2.641,-4.954,26.08
rotate_cw,1,1060,0.119,-0.042,0.922,22.450,6.061,-2.168,26.08
rotate_cw,1,1071,0.123,-0.018,0.919,26.481,0.382,-3.305,26.08
rotate_cw,1,1081,0.124,-0.024,0.909,25.534,0.496,-6.183,26.08
rotate_cw,1,1092,0.082,-0.029,0.911,24.023,0.878,-3.763,26.08
rotate_cw,1,1102,0.064,-0.028,0.907,20.824,1.947,-0.832,26.08
rotate_cw,1,1113,0.102,-0.018,0.905,21.786,0.901,2.206,26.08
rotate_cw,1,1124,0.090,-0.020,0.913,22.450,0.542,1.977,26.08
rotate_cw,1,1134,0.065,-0.040,0.906,22.748,1.466,3.145,26.08
rotate_cw,1,1144,0.098,-0.031,0.903,23.771,3.573,3.122,26.18
rotate_cw,1,1156,0.090,-0.033,0.925,19.305,4.282,4.458,26.18
rotate_cw,1,1166,0.096,-0.024,0.903,20.786,3.771,6.901,26.04
rotate_cw,1,1176,0.111,-0.021,0.904,20.618,5.435,9.229,26.04
rotate_cw,1,1186,0.104,-0.025,0.905,19.969,4.542,10.115,26.13
rotate_cw,1,1198,0.108,-0.019,0.898,19.718,4.847,7.718,26.04
rotate_cw,1,1208,0.096,-0.022,0.916,19.649,4.771,6.260,26.08
rotate_cw,1,1218,0.103,-0.026,0.911,16.840,3.618,7.115,26.08
rotate_cw,1,1229,0.108,-0.002,0.900,20.947,3.290,4.191,26.18
rotate_cw,1,1240,0.074,-0.024,0.914,18.145,5.718,8.015,26.08
rotate_cw,1,1250,0.078,-0.040,0.910,14.351,7.740,13.351,26.08
rotate_cw,1,1261,0.105,-0.008,0.913,16.847,6.466,9.252,26.08
rotate_cw,1,1271,0.108,-0.025,0.920,18.305,7.244,7.061,26.08
rotate_cw,1,1282,0.087,-0.038,0.904,16.198,7.687,10.496,26.08
rotate_cw,1,1293,0.091,-0.021,0.914,15.924,5.565,10.603,26.18
rotate_cw,1,1303,0.087,-0.022,0.915,15.855,4.649,9.634,26.04
rotate_cw,1,1313,0.097,-0.028,0.903,14.366,5.214,9.366,26.04
rotate_cw,1,1325,0.098,-0.028,0.925,15.595,7.260,8.397,26.08
rotate_cw,1,1335,0.084,-0.026,0.925,18.664,9.969,5.916,26.18
rotate_cw,1,1345,0.080,-0.041,0.929,21.252,13.458,4.847,25.99
rotate_cw,1,1356,0.086,-0.033,0.925,23.763,13.550,5.122,26.18
rotate_cw,1,1367,0.076,-0.031,0.904,24.519,6.824,4.031,26.13
rotate_cw,1,1377,0.079,-0.023,0.879,22.519,2.244,4.763,26.04
rotate_cw,1,1388,0.081,-0.023,0.872,17.412,-2.260,11.298,26.13
rotate_cw,1,1398,0.088,-0.032,0.887,10.878,-0.885,13.565,26.08
rotate_cw,1,1409,0.089,-0.016,0.921,9.389,3.000,13.595,26.08
rotate_cw,1,1420,0.109,-0.028,0.959,18.756,8.565,4.695,26.18
rotate_cw,1,1430,0.072,-0.078,0.927,13.031,9.061,18.061,26.18
rotate_cw,1,1440,0.139,-0.036,0.968,14.802,5.855,29.473,26.13
rotate_cw,1,1452,0.057,0.051,0.893,18.153,11.725,8.527,26.13
rotate_cw,1,1462,0.054,-0.023,0.909,23.733,6.740,5.008,26.08
rotate_cw,1,1472,0.031,-0.050,0.881,22.763,0.534,13.382,26.18
rotate_cw,1,1483,0.052,-0.023,0.896,19.603,0.366,14.588,26.18
rotate_cw,1,1494,0.078,-0.014,0.876,24.687,1.260,6.076,26.13
rotate_cw,1,1504,0.082,-0.023,0.907,21.466,4.550,4.282,26.13
rotate_cw,1,1515,0.078,-0.026,0.946,22.710,2.084,3.313,26.13
rotate_cw,1,1525,0.065,-0.035,0.943,24.664,-3.802,1.611,26.13
rotate_cw,1,1536,0.062,-0.033,0.935,23.832,-8.679,1.359,26.04
rotate_cw,1,1546,0.086,-0.036,0.911,22.718,-11.725,2.115,26.08
rotate_cw,1,1557,0.080,-0.024,0.911,23.229,-12.473,3.893,25.99
rotate_cw,1,1567,0.096,-0.021,0.889,23.985,-9.412,3.779,26.18
rotate_cw,1,1579,0.095,-0.016,0.886,23.443,-3.573,2.244,26.13
rotate_cw,1,1589,0.094,-0.027,0.906,22.672,-3.954,4.099,26.13
rotate_cw,1,1599,0.104,-0.022,0.917,22.947,-6.947,3.885,26.08
rotate_cw,1,1609,0.109,-0.019,0.927,25.069,-10.672,3.366,26.08
rotate_cw,1,1620,0.113,-0.016,0.902,26.244,-13.092,2.641,25.99
rotate_cw,1,1631,0.094,-0.013,0.889,24.374,-12.229,2.847,26.04
rotate_cw,1,1642,0.101,-0.006,0.885,21.557,-8.504,4.656,26.22
rotate_cw,1,1652,0.099,-0.013,0.901,20.153,-4.695,4.015,26.13
rotate_cw,1,1662,0.103,-0.018,0.917,19.435,-4.206,4.221,26.08
rotate_cw,1,1673,0.109,-0.003,0.936,19.947,-8.458,5.756,25.99
rotate_cw,1,1684,0.113,-0.007,0.918,20.733,-10.748,4.191,26.18
rotate_cw,1,1694,0.120,0.002,0.886,21.397,-8.076,3.840,26.04
rotate_cw,1,1704,0.127,0.010,0.885,19.084,-3.153,3.450,26.08
rotate_cw,1,1716,0.131,0.003,0.880,19.313,0.809,0.588,26.08
rotate_cw,1,1726,0.133,0.002,0.879,18.931,3.603,-0.863,26.08
rotate_cw,1,1736,0.125,0.007,0.900,17.122,5.160,-1.176,26.08
rotate_cw,1,1747,0.127,-0.009,0.908,18.534,5.687,-3.023,26.18
rotate_cw,1,1758,0.129,-0.009,0.924,19.855,5.374,-3.725,26.18
rotate_cw,1,1768,0.118,-0.005,0.917,21.901,5.305,-4.649,26.08
rotate_cw,1,1779,0.104,-0.017,0.936,25.244,11.702,-5.069,26.13
rotate_cw,1,1789,0.105,-0.019,0.932,28.504,14.840,-3.489,26.13
rotate_cw,1,1800,0.114,-0.021,0.942,30.824,11.565,-2.641,26.18
rotate_cw,1,1811,0.099,-0.022,0.939,31.290,6.550,-0.954,26.08
rotate_cw,1,1821,0.097,0.007,0.910,27.634,-1.023,-0.191,25.99
rotate_cw,1,1831,0.122,-0.011,0.909,23.176,-2.420,3.634,26.08
rotate_cw,1,1843,0.116,-0.018,0.890,25.084,-1.099,8.511,26.08
rotate_cw,1,1853,0.090,0.049,0.839,24.908,1.160,-9.962,26.04
rotate_cw,1,1863,0.085,-0.024,0.849,19.244,17.740,-11.977,26.08
rotate_cw,1,1873,0.103,-0.007,0.921,7.595,42.427,-4.237,26.04
rotate_cw,1,1885,0.062,-0.042,0.943,30.206,25.252,0.038,26.08
rotate_cw,1,1895,0.105,0.017,0.904,22.275,13.878,4.023,26.18
rotate_cw,1,1905,0.095,0.007,0.882,21.031,11.641,1.275,26.08
rotate_cw,1,1916,0.074,-0.004,0.882,17.130,7.634,3.740,26.04
rotate_cw,1,1927,0.088,0.001,0.897,15.405,10.000,2.985,26.08
rotate_cw,1,1937,0.096,-0.006,0.923,15.443,10.435,3.397,26.13
rotate_cw,1,1948,0.080,-0.006,0.953,16.527,3.611,3.786,26.04
rotate_cw,1,1958,0.083,-0.015,0.946,19.794,-3.069,3.695,26.08
rotate_cw,1,1969,0.083,-0.014,0.927,22.328,-4.168,3.405,26.08
rotate_cw,1,1980,0.098,-0.007,0.884,22.237,0.443,2.527,26.18
rotate_cw,1,1990,0.101,-0.022,0.892,20.511,2.443,1.763,26.08
rotate_cw,1,2000,0.103,-0.011,0.920,18.504,0.802,-0.687,26.08
rotate_cw,1,2012,0.096,-0.017,0.936,18.840,-3.191,-3.962,26.08
rotate_cw,1,2022,0.094,-0.010,0.937,18.763,-5.298,-4.267,25.99
rotate_cw,1,2032,0.096,-0.002,0.935,20.863,-6.084,-3.382,26.08
rotate_cw,1,2043,0.091,0.005,0.928,24.260,-4.901,-3.412,26.18
rotate_cw,1,2054,0.105,0.006,0.915,24.588,-4.985,-2.939,26.08
rotate_cw,1,2064,0.102,0.003,0.913,23.786,-6.527,-3.679,26.04
rotate_cw,1,2074,0.096,0.004,0.907,23.863,-7.275,-3.901,26.13
rotate_cw,1,2085,0.102,0.004,0.906,23.687,-7.427,-4.351,26.13
rotate_cw,1,2096,0.096,0.017,0.900,22.420,-5.397,-5.794,26.04
rotate_cw,1,2106,0.107,0.006,0.907,21.252,-5.061,-3.481,26.04
rotate_cw,1,2117,0.055,-0.035,0.887,27.443,-20.511,-2.221,26.13
rotate_cw,1,2127,0.094,0.033,0.883,17.740,-18.580,-14.939,26.18
rotate_cw,1,2138,0.130,0.022,0.892,21.855,-2.809,-11.542,26.13
rotate_cw,1,2149,0.114,0.043,0.930,22.168,-0.412,-11.397,26.13
rotate_cw,1,2159,0.122,0.021,0.946,21.656,-4.412,-14.298,26.08
rotate_cw,1,2170,0.109,0.031,0.920,27.229,-6.389,-13.176,26.13
rotate_cw,1,2181,0.115,0.044,0.906,27.336,-4.649,-7.656,26.13
rotate_cw,1,2191,0.141,0.023,0.882,27.153,-2.206,-3.573,26.18
rotate_cw,1,2202,0.146,0.032,0.858,23.435,3.427,-3.756,26.18
rotate_cw,1,2212,0.134,0.016,0.872,21.229,9.748,-3.977,26.18
rotate_cw,1,2223,0.135,0.002,0.889,16.847,9.855,1.450,25.99
rotate_cw,1,2234,0.147,0.009,0.883,15.405,7.954,5.450,26.08
rotate_cw,1,2244,0.142,0.008,0.882,12.336,6.435,4.061,26.08
rotate_cw,1,2254,0.120,0.005,0.895,9.359,5.947,2.916,26.08
rotate_cw,1,2265,0.113,0.000,0.910,6.878,9.351,4.595,26.18
rotate_cw,1,2276,0.118,0.017,0.915,8.168,13.115,3.832,26.04
rotate_cw,1,2286,0.112,0.015,0.896,9.595,19.985,1.702,26.08
rotate_cw,1,2296,0.123,0.015,0.897,10.038,23.328,6.840,26.18
rotate_cw,1,2308,0.102,-0.003,0.917,10.641,16.908,10.031,26.18
rotate_cw,1,2318,0.103,0.004,0.928,10.870,11.130,9.031,26.13
rotate_cw,1,2328,0.108,-0.001,0.930,11.916,6.550,9.847,26.13
rotate_cw,1,2339,0.100,0.000,0.935,12.977,2.802,8.115,26.13
rotate_cw,1,2350,0.105,-0.003,0.926,14.679,2.565,6.466,26.04
rotate_cw,1,2360,0.091,-0.013,0.917,15.168,3.611,8.053,26.04
rotate_cw,1,2370,0.091,-0.004,0.904,15.237,6.939,9.076,26.18
rotate_cw,1,2381,0.095,-0.011,0.889,12.183,11.763,11.893,26.08
rotate_cw,1,2392,0.117,-0.016,0.882,6.466,9.947,17.031,26.08
rotate_cw,1,2403,0.111,-0.042,0.885,-6.031,7.786,20.046,26.13
rotate_cw,1,2413,0.119,-0.077,0.881,-11.824,10.443,32.092,26.13
rotate_cw,1,2423,0.113,-0.038,0.920,-10.855,21.641,33.595,26.08
rotate_cw,1,2435,0.065,-0.019,0.953,-3.374,18.992,33.817,26.04
rotate_cw,1,2445,0.053,-0.015,0.961,4.931,7.695,31.885,26.13
rotate_cw,1,2455,0.090,-0.006,0.970,12.359,2.298,29.298,26.08
rotate_cw,1,2466,0.085,-0.009,0.920,19.511,3.802,26.260,26.08
rotate_cw,1,2477,0.065,-0.015,0.915,23.275,4.870,24.015,26.08
rotate_cw,1,2487,0.053,-0.008,0.890,22.267,4.214,22.023,26.13
rotate_cw,1,2498,0.053,-0.022,0.878,21.756,8.595,19.962,26.13
rotate_cw,1,2508,0.080,-0.008,0.903,18.542,14.802,16.427,26.18
rotate_cw,1,2519,0.116,-0.019,0.942,19.260,14.214,10.855,26.08
rotate_cw,1,2530,0.103,-0.003,0.944,21.046,5.382,3.443,26.04
rotate_cw,1,2540,0.092,-0.018,0.920,21.137,-1.244,-0.748,26.13
rotate_cw,1,2550,0.075,-0.028,0.883,22.122,-1.099,-0.489,26.13
rotate_cw,1,2562,0.062,-0.008,0.877,22.290,3.954,0.443,26.18
